"Number of N-400 Applications for Naturalization by Category of Naturalization,  Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"  January  1 - March  31, 2014 ",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"199,392","149,304","16,419","330,885","2,651","2,174",247,"3,472","202,043","151,478","16,666","334,357"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,Anchorage ,297,210,48,533, D , D , D ,22,305,219,50,555
Arizona,,,,,,,,,,,,,
,Phoenix ,"3,099","2,580",275,"4,660", D ,15, D ,15,"3,108","2,595",276,"4,675"
,Tucson,800,660,62,"1,105", D , D , -   ,11,805,669,62,"1,116"
Arkansas,,,,,,,,,,,,,
,Fort Smith ,312,199,21,481, D , -   , -   , D ,314,199,21,484
California,,,,,,,,,,,,,
,Chula Vista,"1,794","1,324",182,"2,176",74,55,11,85,"1,868","1,379",193,"2,261"
,Fresno ,"2,623","1,705",238,"3,670",14,15, D ,16,"2,637","1,720",239,"3,686"
,Imperial,357,337,53,546, D , -   , -   , D ,358,337,53,547
,Los Angeles ,"5,390","4,021",389,"8,391",19,18, D ,18,"5,409","4,039",394,"8,409"
,Los Angeles County ,"5,744","3,440",511,"9,307",10,14, D ,15,"5,754","3,454",514,"9,322"
,Sacramento ,"3,398","2,550",241,"3,913",21,21, D ,19,"3,419","2,571",243,"3,932"
,San Bernardino,"4,278","2,368",289,"7,117",13,21, -   ,25,"4,291","2,389",289,"7,142"
,San Diego ,"2,299","1,785",107,"3,386",64,56, -   ,62,"2,363","1,841",107,"3,448"
,San Fernando Valley,"4,200","2,580",245,"7,282",13,10, -   ,20,"4,213","2,590",245,"7,302"
,San Francisco,"6,088","4,744",297,"9,120", D , D , D ,17,"6,095","4,753",299,"9,137"
,San Jose ,"4,091","3,505",248,"4,909", D , D , -   , D ,"4,095","3,509",248,"4,918"
,Santa Ana,"4,042","2,531",296,"7,999", D , D , -   , D ,"4,045","2,539",296,"8,003"
Colorado,,,,,,,,,,,,,
,Denver ,"2,326","1,604",182,"4,808",10,27, D ,22,"2,336","1,631",187,"4,830"
Connecticut,,,,,,,,,,,,,
,Hartford ,"2,575","1,999",227,"4,367", D , D , -   ,23,"2,584","2,004",227,"4,390"
Delaware,,,,,,,,,,,,,
,Dover AFB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,,,,,,,,,,,
,Washington ,"4,454","2,025",353,"10,093",26,28, D ,80,"4,480","2,053",354,"10,173"
Florida,,,,,,,,,,,,,
,Hialeah,"3,370","2,604",311,"5,807", D , D , -   ,10,"3,374","2,612",311,"5,817"
,Jacksonville,"1,179",794,52,"1,943",19,33, D ,82,"1,198",827,53,"2,025"
,Kendall,"3,186","2,567",297,"4,493", D , D , D , D ,"3,190","2,571",301,"4,499"
,Miami ,"3,208","2,889",350,"5,727", D , D , -   ,10,"3,210","2,892",350,"5,737"
,Oakland Park,"3,528","3,270",401,"4,851", D , D , D ,21,"3,536","3,278",402,"4,872"
,Orlando ,"2,724","2,637",243,"4,535",11, D , D ,22,"2,735","2,642",247,"4,557"
,Tampa ,"3,247","2,941",292,"5,084",12,14, D ,13,"3,259","2,955",298,"5,097"
,West Palm Beach,"2,313","1,917",222,"2,793", D , D , D , D ,"2,320","1,922",224,"2,798"
Georgia,,,,,,,,,,,,,
,Atlanta ,"5,392","3,785",225,"10,271",162,147,11,199,"5,554","3,932",236,"10,470"
Hawaii,,,,,,,,,,,,,
,Honolulu ,976,610,51,"1,610",41,32, D ,35,"1,017",642,57,"1,645"
Idaho,,,,,,,,,,,,,
,Boise ,447,295,28,535, D , D , -   , D ,448,296,28,539
Illinois,,,,,,,,,,,,,
,Chicago ,"7,028","5,286",681,"11,261",302,150, D ,553,"7,330","5,436",689,"11,814"
Indiana,,,,,,,,,,,,,
,Indianapolis ,"1,070",939,91,"1,467", D , D , -   , D ,"1,072",943,91,"1,470"
Iowa,,,,,,,,,,,,,
,Des Moines,613,409,40,"1,073", D , D , D , D ,614,412,43,"1,075"
Kansas,,,,,,,,,,,,,
,Wichita,311,365,20,389, D , D , D , D ,314,369,21,394
Kentucky,,,,,,,,,,,,,
,Louisville ,806,672,104,971, D ,14, -   ,14,811,686,104,985
Louisiana,,,,,,,,,,,,,
,New Orleans ,935,676,95,"2,063",13,32, D ,17,948,708,96,"2,080"
Maine,,,,,,,,,,,,,
,Portland ,236,264,11,297, -   , D , -   , -   ,236,265,11,297
Maryland,,,,,,,,,,,,,
,Baltimore ,"4,763","2,676",197,"10,952",12,15, -   ,14,"4,775","2,691",197,"10,966"
Massachusetts,,,,,,,,,,,,,
,Boston ,"4,204","3,108",491,"9,483",10,10, -   ,23,"4,214","3,118",491,"9,506"
,Lawrence,"1,843","1,632",196,"2,984", D , D , -   , D ,"1,849","1,634",196,"2,992"
Michigan,,,,,,,,,,,,,
,Detroit ,"3,425","2,863",302,"5,356", D , D , -   , D ,"3,430","2,864",302,"5,365"
Minnesota,,,,,,,,,,,,,
,St. Paul ,"2,981","2,627",205,"5,125",17, -   , D ,25,"2,998","2,627",209,"5,150"
Missouri,,,,,,,,,,,,,
,Kansas City ,"1,014",944,54,"1,211",95,67, D ,93,"1,109","1,011",56,"1,304"
,St. Louis ,761,562,51,"1,326", D , D , -   , D ,764,563,51,"1,331"
Montana,,,,,,,,,,,,,
,Helena ,103,64, D ,108, D , D , D , D ,106,66, D ,112
Nebraska,,,,,,,,,,,,,
,Omaha ,804,461,53,"1,035", D , D , -   , D ,805,465,53,"1,037"
Nevada,,,,,,,,,,,,,
,Las Vegas ,"2,046","1,582",147,"2,711", D ,10, D ,28,"2,052","1,592",152,"2,739"
,Reno ,363,174,68,434, D , D , -   , D ,364,177,68,436
New Hampshire,,,,,,,,,,,,,
,Manchester ,404,295,23,492, -   , -   , -   , D ,404,295,23,493
New Jersey,,,,,,,,,,,,,
,Mount Laurel,"1,771","1,781",98,"2,473", D , D , D , D ,"1,776","1,784",99,"2,481"
,Newark ,"8,011","5,982",570,"13,871", D ,21, D ,17,"8,020","6,003",575,"13,888"
New Mexico,,,,,,,,,,,,,
,Albuquerque ,528,266,38,705, D , D , -   , D ,537,272,38,712
New York,,,,,,,,,,,,,
