"Number of N-400 Applications for Naturalization by Category of Naturalization,  Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"April  1 - June  30, 2014 ",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"231,669","153,867","15,639","401,581","2,662","2,407",213,"4,102","234,331","156,274","15,852","405,683"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,Anchorage ,310,270,48,525, D ,16, -   ,10,313,286,48,535
Arizona,,,,,,,,,,,,,
,Phoenix ,"3,499","1,816",314,"6,066",13,11, D ,15,"3,512","1,827",316,"6,081"
,Tucson,901,595,66,"1,379", D ,21, -   ,15,905,616,66,"1,394"
Arkansas,,,,,,,,,,,,,
,Fort Smith ,332,282,16,519, D , D , -   , D ,335,283,16,524
California,,,,,,,,,,,,,
,Chula Vista,"2,289","1,332",91,"3,255",73,65, D ,88,"2,362","1,397",94,"3,343"
,Fresno ,"3,365","1,665",187,"5,226", D ,12, D ,11,"3,373","1,677",189,"5,237"
,Imperial,458,328,51,622, D , -   , -   , D ,459,328,51,623
,Los Angeles ,"7,592","4,873",276,"10,986",16, D , -   ,18,"7,608","4,881",276,"11,004"
,Los Angeles County ,"9,633","4,438",514,"14,223", D ,18, D ,17,"9,640","4,456",515,"14,240"
,Sacramento ,"3,850","2,591",171,"5,041",14, D , D ,11,"3,864","2,598",178,"5,052"
,San Bernardino,"6,223","2,595",340,"10,382",18,31, D ,33,"6,241","2,626",343,"10,415"
,San Diego ,"2,532","1,815",114,"3,904",73,35, D ,125,"2,605","1,850",118,"4,029"
,San Fernando Valley,"6,214","3,487",257,"9,765",12,23, -   ,26,"6,226","3,510",257,"9,791"
,San Francisco,"7,017","5,140",326,"10,879", D , D , D ,14,"7,026","5,148",327,"10,893"
,San Jose ,"4,419","3,367",285,"5,804", D , D , D , D ,"4,426","3,374",286,"5,809"
,Santa Ana,"5,458","2,588",407,"10,480", D ,18, D , D ,"5,465","2,606",408,"10,484"
Colorado,,,,,,,,,,,,,
,Denver ,"2,529","1,416",197,"5,727", D ,17, D ,16,"2,538","1,433",203,"5,743"
Connecticut,,,,,,,,,,,,,
,Hartford ,"2,558","1,844",209,"5,410", D ,17, D ,23,"2,567","1,861",210,"5,433"
Delaware,,,,,,,,,,,,,
,Dover AFB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,,,,,,,,,,,
,Washington ,"4,803","4,149",337,"10,055",30,11, D ,73,"4,833","4,160",338,"10,128"
Florida,,,,,,,,,,,,,
,Hialeah,"3,777","2,851",319,"6,446", D , D , -   , D ,"3,784","2,856",319,"6,455"
,Jacksonville,"1,213",938,85,"2,186",34,36, D ,71,"1,247",974,87,"2,257"
,Kendall,"3,708","3,000",356,"4,874", D , D , D ,11,"3,715","3,002",358,"4,885"
,Miami ,"3,769","3,092",381,"6,091", D , D , D , D ,"3,773","3,095",383,"6,096"
,Oakland Park,"3,955","2,793",387,"5,662", D , D , D ,20,"3,964","2,799",388,"5,682"
,Orlando ,"2,816","2,063",370,"4,903",10, -   , D ,29,"2,826","2,063",371,"4,932"
,Tampa ,"3,595","2,886",383,"5,440",21, D , D ,24,"3,616","2,892",386,"5,464"
,West Palm Beach,"2,512","1,770",230,"3,265", D , D , -   , D ,"2,519","1,776",230,"3,272"
Georgia,,,,,,,,,,,,,
,Atlanta ,"5,728","1,462",317,"14,190",260,149,17,309,"5,988","1,611",334,"14,499"
Hawaii,,,,,,,,,,,,,
,Honolulu ,958,663,63,"1,752",40,26, D ,53,998,689,64,"1,805"
Idaho,,,,,,,,,,,,,
,Boise ,523,271,30,771, D , D , -   , D ,525,273,30,775
Illinois,,,,,,,,,,,,,
,Chicago ,"8,204","6,168",603,"12,730",304,234, D ,876,"8,508","6,402",611,"13,606"
Indiana,,,,,,,,,,,,,
,Indianapolis ,"1,103",871,95,"1,657", D , D , -   , D ,"1,109",875,95,"1,661"
Iowa,,,,,,,,,,,,,
,Des Moines,640,439,26,"1,280", D , D , D , D ,644,442,27,"1,286"
Kansas,,,,,,,,,,,,,
,Wichita,391,129,20,630, D , D , -   , D ,392,131,20,635
Kentucky,,,,,,,,,,,,,
,Louisville ,834,713,73,"1,060", D , D , D ,10,838,720,74,"1,070"
Louisiana,,,,,,,,,,,,,
,New Orleans ,"1,010",792,79,"2,202",19,24, D ,31,"1,029",816,80,"2,233"
Maine,,,,,,,,,,,,,
,Portland ,227,185, D ,315, -   , D , -   , D ,227,186, D ,316
Maryland,,,,,,,,,,,,,
,Baltimore ,"5,062","3,406",220,"12,714",10, D , D ,26,"5,072","3,414",226,"12,740"
Massachusetts,,,,,,,,,,,,,
,Boston ,"4,326","4,743",440,"8,651",16, D , -   ,44,"4,342","4,747",440,"8,695"
,Lawrence,"2,060","1,509",139,"3,381", D , D , D , D ,"2,067","1,511",140,"3,390"
Michigan,,,,,,,,,,,,,
,Detroit ,"3,683","3,131",437,"5,490",12, -   , D ,20,"3,695","3,131",438,"5,510"
Minnesota,,,,,,,,,,,,,
,St. Paul ,"2,932","1,690",242,"6,145",12, -   , D ,28,"2,944","1,690",246,"6,173"
Missouri,,,,,,,,,,,,,
,Kansas City ,"1,000",721,45,"1,452",102,79, D ,80,"1,102",800,52,"1,532"
,St. Louis ,772,809,85,"1,210", D , D , -   , D ,774,810,85,"1,214"
Montana,,,,,,,,,,,,,
,Helena ,66,86, D ,85, -   , D , -   , D ,66,90, D ,86
Nebraska,,,,,,,,,,,,,
,Omaha ,875,701,58,"1,166", D , D , -   , D ,878,702,58,"1,170"
Nevada,,,,,,,,,,,,,
,Las Vegas ,"2,370","1,865",147,"3,106", D ,26, D ,11,"2,375","1,891",150,"3,117"
,Reno ,389,242,25,575, D , -   , D , D ,390,242,26,577
New Hampshire,,,,,,,,,,,,,
,Manchester ,414,296,12,600, D , D , -   , -   ,415,298,12,600
New Jersey,,,,,,,,,,,,,
,Mount Laurel,"1,827","1,440",113,"2,725",11, D , D ,11,"1,838","1,443",115,"2,736"
,Newark ,"8,806","7,925",580,"14,242",10,13, D ,23,"8,816","7,938",581,"14,265"
New Mexico,,,,,,,,,,,,,
,Albuquerque ,583,382,33,872, D , D , -   , D ,588,390,33,874
New York,,,,,,,,,,,,,
