USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"214,231","189,939","19,214","395,285","2,269","1,900",129,"4,112","216,500","191,839","19,343","399,397"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Anchorage ,ANC,300,198,27,603,9,5, -   ,20,309,203,27,623
Arizona,,,,,,,,,,,,,,
,Phoenix ,PHO,"2,887","2,769",424,"5,498",2,2, -   ,14,"2,889","2,771",424,"5,512"
,Tucson,TUC,682,571,81,999,18,5, -   ,16,700,576,81,"1,015"
Arkansas,,,,,,,,,,,,,,
,Fort Smith ,FSA,337,303,23,548,1,2, -   ,3,338,305,23,551
California,,,,,,,,,,,,,,
,Chula Vista,CVC,"2,301","1,643",124,"3,505",87,65,7,263,"2,388","1,708",131,"3,768"
,Fresno ,FRE,"2,322","2,214",338,"4,566",10,3, -   ,16,"2,332","2,217",338,"4,582"
,Imperial,IMP,378,217,53,508, -   , -   , -   ,1,378,217,53,509
,Los Angeles ,LOS,"4,695","4,247",416,"7,943",7,7, -   ,21,"4,702","4,254",416,"7,964"
,Los Angeles County ,LAC,"5,062","5,214",741,"8,445",19,4, -   ,19,"5,081","5,218",741,"8,464"
,Sacramento ,SAC,"3,514","2,347",216,"5,244",9,3,1,18,"3,523","2,350",217,"5,262"
,San Bernardino,SBD,"3,810","3,977",614,"6,599",14,37,3,27,"3,824","4,014",617,"6,626"
,San Diego ,SND,"1,791","1,146",211,"4,302",43,32,4,38,"1,834","1,178",215,"4,340"
,San Fernando Valley,SFV,"3,809","3,481",335,"6,603",4,12, -   ,19,"3,813","3,493",335,"6,622"
,San Francisco,SFR,"6,383","5,307",339,"10,699",7,10, -   ,17,"6,390","5,317",339,"10,716"
,San Jose ,SNJ,"4,150","3,143",215,"6,109",7,2,1,9,"4,157","3,145",216,"6,118"
,Santa Ana,SAA,"4,099","3,983",434,"11,068",11,9, -   ,18,"4,110","3,992",434,"11,086"
Colorado,,,,,,,,,,,,,,
,Denver ,DEN,"2,451","2,839",438,"5,065",18,15, -   ,35,"2,469","2,854",438,"5,100"
Connecticut,,,,,,,,,,,,,,
,Hartford ,HAR,"2,539","2,557",206,"5,049",4,19, -   ,8,"2,543","2,576",206,"5,057"
Delaware,,,,,,,,,,,,,,
,Dover AFB,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,,,,,,,,,,,,
,Washington ,WAS,"4,992","5,155",408,"10,740",18,12,1,24,"5,010","5,167",409,"10,764"
Florida,,,,,,,,,,,,,,
,Hialeah,HIA,"4,238","3,207",478,"6,043",3,4,1,4,"4,241","3,211",479,"6,047"
,Jacksonville,JAC,"1,377","1,496",112,"2,512",28,25, -   ,72,"1,405","1,521",112,"2,584"
,Kendall,KND,"3,768","3,083",281,"4,962",1,2, -   ,1,"3,769","3,085",281,"4,963"
,Miami ,MIA,"3,897","3,060",386,"6,333",5,3, -   ,22,"3,902","3,063",386,"6,355"
,Oakland Park,OKL,"3,985","3,201",410,"6,023",7,6,1,13,"3,992","3,207",411,"6,036"
