USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"202,128","210,557","22,042","363,270","2,829","1,941",157,"3,739","204,957","212,498","22,199","367,009"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Anchorage ,ANC,255,269,35,544, D ,13, -   ,18,261,282,35,562
Arizona,,,,,,,,,,,,,,
,Phoenix ,PHO,"2,898","3,088",358,"5,060", D , D , D ,12,"2,904","3,095",360,"5,072"
,Tucson,TUC,661,629,83,976, D ,16, D ,12,666,645,84,988
Arkansas,,,,,,,,,,,,,,
,Fort Smith ,FSA,343,333,13,541, D , D , -   , D ,345,334,13,545
California,,,,,,,,,,,,,,
,Chula Vista,CVC,"2,118","1,900",163,"3,216",132,125,26,108,"2,250","2,025",189,"3,324"
,Fresno ,FRE,"2,336","2,932",393,"3,536",11, D , D ,24,"2,347","2,934",394,"3,560"
,Imperial,IMP,298,307,46,476, -   , D , -   , -   ,298,308,46,476
,Los Angeles ,LOS,"4,353","4,208",379,"7,633",13,14, -   ,18,"4,366","4,222",379,"7,651"
,Los Angeles County ,LAC,"4,915","4,658",551,"8,774",11,18, -   ,10,"4,926","4,676",551,"8,784"
,Sacramento ,SAC,"3,344","2,758",217,"5,620",11, D , -   ,33,"3,355","2,761",217,"5,653"
,San Bernardino,SBD,"3,752","3,735",443,"6,204",25,34, D ,48,"3,777","3,769",448,"6,252"
,San Diego ,SND,"1,782","1,976",209,"3,936",25,23, D ,30,"1,807","1,999",213,"3,966"
,San Fernando Valley,SFV,"3,614","3,795",280,"6,146", D ,15, -   ,24,"3,621","3,810",280,"6,170"
,San Francisco,SFR,"6,143","5,594",325,"10,921",19, D , D ,20,"6,162","5,603",326,"10,941"
,San Jose ,SNJ,"4,175","3,578",273,"6,249", D , D , D , D ,"4,178","3,582",275,"6,253"
,Santa Ana,SAA,"4,215","6,338",670,"7,662", D , D , -   ,14,"4,221","6,345",670,"7,676"
Colorado,,,,,,,,,,,,,,
,Denver ,DEN,"2,395","2,385",596,"4,487",12,22, D ,23,"2,407","2,407",597,"4,510"
Connecticut,,,,,,,,,,,,,,
,Hartford ,HAR,"2,455","3,265",250,"3,988",11, D , -   ,24,"2,466","3,268",250,"4,012"
Delaware,,,,,,,,,,,,,,
,Dover AFB,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,,,,,,,,,,,,
,Washington ,WAS,"4,921","5,413",375,"8,731",23, D , D ,17,"4,944","5,420",377,"8,748"
Florida,,,,,,,,,,,,,,
,Hialeah,HIA,"3,862","4,077",372,"5,342", D , D , D , D ,"3,864","4,080",373,"5,346"
,Jacksonville,JAC,"1,314","1,324",159,"2,341",43,48, D ,30,"1,357","1,372",162,"2,371"
,Kendall,KND,"3,696","3,274",292,"4,940", -   , D , -   , D ,"3,696","3,275",292,"4,941"
,Miami ,MIA,"3,650","3,472",433,"5,854", D , D , D , D ,"3,652","3,474",434,"5,861"
,Oakland Park,OKL,"3,587","3,432",541,"5,481", D , D , D , D ,"3,591","3,437",542,"5,489"
