USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,
,,,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Total,Total,Total,Total
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"185,466","155,129","19,051","384,850","2,169","1,850",139,"3,982","187,635","156,979","19,190","388,832"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Anchorage ,ANC,306,202,44,603, D ,12, -   ,20,310,214,44,623
Arizona,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Phoenix ,PHO,"2,529","2,003",317,"5,336", D , D , D ,18,"2,538","2,007",320,"5,354"
,Tucson,TUC,553,472,87,943, D ,10, D ,10,555,482,88,953
Arkansas,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Fort Smith ,FSA,280,252,14,602, D , D , -   , D ,282,254,14,604
California,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Chula Vista,CVC,"1,787","1,599",209,"3,591",99,99,16,91,"1,886","1,698",225,"3,682"
,Fresno ,FRE,"1,934","1,712",349,"3,634",10,14, D ,15,"1,944","1,726",350,"3,649"
,Imperial,IMP,363,264,37,557, -   , -   , -   , -   ,363,264,37,557
,Los Angeles ,LOS,"4,166","3,800",310,"7,663", D , D , -   ,12,"4,168","3,808",310,"7,675"
,Los Angeles County ,LAC,"4,341","3,933",518,"8,705", D , -   , -   ,23,"4,347","3,933",518,"8,728"
,Sacramento ,SAC,"2,827","3,216",227,"5,298", D , D , D ,13,"2,834","3,225",229,"5,311"
,San Bernardino,SBD,"3,215","3,049",397,"6,133",12,35, D ,26,"3,227","3,084",404,"6,159"
,San Diego ,SND,"1,506","1,736",194,"3,928",17,31, D ,50,"1,523","1,767",195,"3,978"
,San Fernando Valley,SFV,"3,412","2,492",221,"6,992", D ,17, D ,10,"3,418","2,509",222,"7,002"
,San Francisco,SFR,"5,752","4,102",310,"12,673", D , D , D ,24,"5,761","4,106",311,"12,697"
,San Jose ,SNJ,"3,338","2,557",258,"6,688", D , D , -   , D ,"3,339","2,561",258,"6,690"
,Santa Ana,SAA,"3,641","3,208",351,"7,584", D , D , -   , D ,"3,648","3,213",351,"7,592"
Colorado,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Denver ,DEN,"2,233","1,760",366,"4,686",11,14, D ,26,"2,244","1,774",368,"4,712"
Connecticut,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Hartford ,HAR,"2,325","2,292",233,"4,189", D , D , -   ,13,"2,328","2,296",233,"4,202"
Delaware,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Dover AFB,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Washington ,WAS,"4,421","2,791",371,"10,737", D , D , D ,27,"4,429","2,794",373,"10,764"
Florida,,,   ,   ,    ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Hialeah,HIA,"3,538","2,771",298,"6,079", D , D , -   , D ,"3,541","2,774",298,"6,087"
,Jacksonville,JAC,"1,082",537,92,"2,805",34,34, D ,67,"1,116",571,94,"2,872"
