,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Total,,," 283,234 "," 186,864 "," 20,806 "," 520,283 "," 2,802 "," 2,135 ", 155 ," 3,731 "," 286,036 "," 188,999 "," 20,961 "," 524,014 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,,,,,,,,,,
,Anchorage ,ANC, 295 , 210 , 32 , 741 , D , D , D , 12 , 297 , 218 , 33 , 753 ,,,,,,,,,,
Arizona,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Phoenix ,PHO," 3,856 "," 1,633 ", 306 ," 7,998 ", D , D , -   , 17 ," 3,863 "," 1,639 ", 306 ," 8,015 ",,,,,,,,,,
,Tucson,TUC, 948 , 481 , 80 ," 1,471 ", D , 10 , D , 10 , 950 , 491 , 81 ," 1,481 ",,,,,,,,,,
Arkansas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Fort Smith ,FSA, 483 , 389 , 21 , 734 , D , -   , -   , D , 484 , 389 , 21 , 738 ,,,,,,,,,,
California,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  ,,,,,,,,,,
,Chula Vista,CVC," 1,104 ", -   , -   ," 1,170 ", D , -   , -   , D ," 1,105 ", -   , -   ," 1,172 ",,,,,,,,,,
,Fresno ,FRE," 3,319 "," 2,267 ", 325 ," 5,125 ", D , D , D , 15 ," 3,322 "," 2,274 ", 326 ," 5,140 ",,,,,,,,,,
,Imperial,IMP, 582 , 356 , 30 , 843 , -   , -   , -   , D , 582 , 356 , 30 , 844 ,,,,,,,,,,
,Los Angeles ,LOS," 6,124 "," 4,514 ", 407 ," 9,205 ", D , D , -   , D ," 6,126 "," 4,518 ", 407 ," 9,208 ",,,,,,,,,,
,Los Angeles County ,LAC," 7,533 "," 4,398 ", 587 ," 12,469 ", 10 , 19 , D , 12 ," 7,543 "," 4,417 ", 590 ," 12,481 ",,,,,,,,,,
,Sacramento ,SAC," 3,935 "," 3,242 ", 286 ," 6,551 ", 10 , 16 , D , D ," 3,945 "," 3,258 ", 287 ," 6,559 ",,,,,,,,,,
,San Bernardino,SBD," 5,752 "," 3,234 ", 439 ," 8,868 ", D , 32 , D , 14 ," 5,755 "," 3,266 ", 440 ," 8,882 ",,,,,,,,,,
,San Diego ,SND," 3,880 "," 1,846 ", 235 ," 10,914 ", 110 , 88 , 25 , 131 ," 3,990 "," 1,934 ", 260 ," 11,045 ",,,,,,,,,,
,San Fernando Valley,SFV," 4,798 "," 4,044 ", 299 ," 8,363 ", D , 12 , D , 13 ," 4,800 "," 4,056 ", 300 ," 8,376 ",,,,,,,,,,
,San Francisco,SFR," 8,106 "," 5,024 ", 300 ," 16,579 ", D , D , D , 25 ," 8,113 "," 5,026 ", 303 ," 16,604 ",,,,,,,,,,
,San Jose ,SNJ," 5,098 "," 3,282 ", 232 ," 9,573 ", D , D , -   , D ," 5,102 "," 3,285 ", 232 ," 9,581 ",,,,,,,,,,
