USCIS Field Office or Service Center Location,,,Applications by Category and Case Status,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"199,680","229,462","24,513","728,301","3,132","2,123",214,"5,908","202,812","231,585","24,727","734,209"
,,,,,,,,,,,,,,
Field Office by State6,,Field Office Code,,,,,,,,,,,,
Alabama,,,"199,680","229,462","24,501","728,301","3,047","1,938",130,"5,854","202,812","231,585","24,723","734,209"
,Montgomery,MGA,803,299,10,"1,500",32,136,-,D,835,435,10,"1,506"
Alaska,,,,,,,,,,,,,,
,Anchorage ,ANC,282,362,36,816,10,14,D,25,292,376,38,841
Arizona,,,,,,,,,,,,,,
,Phoenix ,PHO,"3,024","2,539",317,"12,784",27,D,-,39,"3,051","2,548",317,"12,823"
,Tucson,TUC,727,"1,208",133,"1,853",D,D,D,D,733,"1,212",134,"1,856"
Arkansas,,,,,,,,,,,,,,
,Fort Smith ,FSA,292,282,21,"1,201",D,-,-,D,297,282,21,"1,208"
California,,,,,,,,,,,,,,
,Chula Vista,CVC,-,-,-,-,-,-,-,-,-,-,-,-
,Fresno ,FRE,"2,906","3,143",337,"8,679",18,D,D,16,"2,924","3,150",338,"8,695"
,Imperial,IMP,305,425,87,"1,023",-,-,-,D,305,425,87,"1,024"
,Los Angeles ,LOS,"5,159","5,693",331,"16,143",41,14,-,62,"5,200","5,707",331,"16,205"
,Los Angeles County ,LAC,"5,304","4,479",531,"20,376",53,14,D,45,"5,357","4,493",539,"20,421"
,Sacramento ,SAC,"3,525","3,249",269,"12,171",43,D,D,31,"3,568","3,257",270,"12,202"
,San Bernardino,SBD,"4,719","6,506",798,"10,926",42,36,D,62,"4,761","6,542",803,"10,988"
,San Diego ,SND,"4,358","5,673",533,"11,158",61,142,32,54,"4,419","5,815",565,"11,212"
,San Fernando Valley,SFV,"3,878","4,435",272,"13,899",29,D,-,36,"3,907","4,437",272,"13,935"
,San Francisco,SFR,"7,309","7,925",346,"25,769",55,D,D,56,"7,364","7,934",347,"25,825"
,San Jose ,SNJ,"3,759","6,696",388,"10,653",33,D,-,29,"3,792","6,699",388,"10,682"
,Santa Ana,SAA,"4,502","4,818",537,"14,006",40,D,-,42,"4,542","4,827",537,"14,048"
Colorado,,,,,,,,,,,,,,
,Denver ,DEN,"2,273","2,098",396,"9,276",29,22,D,67,"2,302","2,120",398,"9,343"
Connecticut,,,,,,,,,,,,,,
,Hartford ,HAR,"2,198","2,518",319,"8,816",43,D,D,42,"2,241","2,527",321,"8,858"
Delaware,,,,,,,,,,,,,,
,Dover AFB,DVD,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,,,,,,,,,,,,,,
,Washington ,WAS,"4,225","7,588",560,"14,639",54,D,-,69,"4,279","7,590",560,"14,708"
Florida,,,,,,,,,,,,,,
,Fort Meyers,OFM,913,356,215,"5,368",10,D,D,D,923,359,216,"5,371"
,Hialeah,HIA,"2,453","3,353",603,"11,039",21,-,D,18,"2,474","3,353",605,"11,057"
,Jacksonville,JAC,"1,064","1,180",97,"3,612",18,10,-,38,"1,082","1,190",97,"3,650"
,Kendall,KND,"2,439","2,587",332,"12,287",13,D,D,17,"2,452","2,588",334,"12,304"
,Miami ,MIA,"3,450","3,010",189,"17,011",16,D,D,6,"3,466","3,015",190,"17,017"
