,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,,,,,,
,,, Naturalization1 ,,,, Naturalization (Military)1 ,,,, Total ,,,,,,,,
,,, Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 ,,,,,
 Total ,,," 218,344 "," 201,828 "," 23,762 "," 745,735 ", 705 ," 1,290 ", 156 ," 5,058 "," 219,049 "," 203,118 "," 23,918 "," 750,793 ",,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA ," 1,001 ", 818 , 47 ," 5,561 ", D , 13 , D , 87 ," 1,007 ", 831 , 50 ," 5,648 ",,,,,
 Alaska ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Anchorage  , ANC , 254 , 489 , 35 , 659 , D , 30 , D , 37 , 257 , 519 , 36 , 696 ,,,,,
 Arizona ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Phoenix  , PHO ," 2,778 "," 2,199 ", 344 ," 13,646 ", D , 12 , D , 39 ," 2,787 "," 2,211 ", 346 ," 13,685 ",,,,,
, Tucson , TUC , 756 , 807 , 94 ," 1,284 ", D , D , D , 14 , 762 , 810 , 98 ," 1,298 ",,,,,
 Arkansas ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Fort Smith  , FSA , 427 , 510 , 35 , 913 , D , D , D , D , 431 , 514 , 36 , 922 ,,,,,
 California ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Chula Vista , CVC ,  , -   , -   , -   ,  , -   , -   , -   ,, -   , -   , -   ,,,,,
, Fresno  , FRE ," 2,929 "," 3,002 ", 365 ," 6,737 ", D , -   , -   , 24 ," 2,935 "," 3,002 ", 365 ," 6,761 ",,,,,
, Imperial , IMP , 592 , 292 , 69 , 541 , D , D , -   , D , 593 , 294 , 69 , 542 ,,,,,
, Los Angeles  , LOS ," 4,806 "," 5,041 ", 489 ," 14,980 ", 11 , 14 , D , 76 ," 4,817 "," 5,055 ", 492 ," 15,056 ",,,,,
, Los Angeles County  , LAC ," 4,947 "," 5,076 ", 841 ," 16,243 ", 11 , 20 , D , 62 ," 4,958 "," 5,096 ", 850 ," 16,305 ",,,,,
, Sacramento  , SAC ," 3,649 "," 3,669 ", 356 ," 10,237 ", D , 13 , D , 59 ," 3,658 "," 3,682 ", 357 ," 10,296 ",,,,,
, San Bernardino , SBD ," 4,650 "," 4,350 ", 657 ," 8,145 ", 13 , 28 , D , 67 ," 4,663 "," 4,378 ", 664 ," 8,212 ",,,,,
, San Diego  , SND ," 4,167 "," 5,914 ", 428 ," 8,423 ", 28 , 34 , D , 188 ," 4,195 "," 5,948 ", 431 ," 8,611 ",,,,,
, San Fernando Valley , SFV ," 3,896 "," 3,214 ", 344 ," 15,814 ", D , 11 , D , 41 ," 3,904 "," 3,225 ", 346 ," 15,855 ",,,,,
, San Francisco , SFR ," 7,235 "," 6,016 ", 319 ," 28,407 ", 20 , D , D , 108 ," 7,255 "," 6,025 ", 320 ," 28,515 ",,,,,
, San Jose  , SNJ ," 4,106 "," 3,800 ", 416 ," 10,897 ", D , 19 , -   , 39 ," 4,112 "," 3,819 ", 416 ," 10,936 ",,,,,
, Santa Ana , SAA ," 4,332 "," 3,321 ", 671 ," 14,533 ", 11 , 19 , -   , 40 ," 4,343 "," 3,340 ", 671 ," 14,573 ",,,,,
 Colorado ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Denver  , DEN ," 2,325 "," 2,372 ", 445 ," 9,895 ", 11 , 67 , D , 100 ," 2,336 "," 2,439 ", 450 ," 9,995 ",,,,,
 Connecticut ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Hartford  , HAR ," 2,461 "," 2,758 ", 352 ," 7,273 ", D , 12 , D , 34 ," 2,465 "," 2,770 ", 354 ," 7,307 ",,,,,
 Delaware ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Dover AFB , DVD ,  , -   , -   , -   ,  , -   , -   , -   ,, -   , -   , -   ,,,,,
 District of Columbia ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Washington  , WAS ," 4,860 "," 3,928 ", 404 ," 17,076 ", 15 , 17 , -   , 85 ," 4,875 "," 3,945 ", 404 ," 17,161 ",,,,,
 Florida ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Fort Meyers , OFM ," 1,206 "," 1,402 ", 170 ," 5,686 ", -   , D , -   , D ," 1,206 "," 1,405 ", 170 ," 5,687 ",,,,,
, Hialeah , HIA ," 3,762 "," 3,874 ", 523 ," 7,550 ", D , D , D , 14 ," 3,766 "," 3,877 ", 525 ," 7,564 ",,,,,
, Jacksonville , JAC ," 1,287 "," 1,590 ", 184 ," 2,690 ", D , 33 , D , 25 ," 1,293 "," 1,623 ", 188 ," 2,715 ",,,,,
, Kendall , KND ," 3,766 "," 4,990 ", 334 ," 10,723 ", D , 14 , D , 14 ," 3,769 "," 5,004 ", 336 ," 10,737 ",,,,,
, Miami  , MIA ," 3,286 "," 2,513 ", 348 ," 18,119 ", D , D , -   , 20 ," 3,289 "," 2,517 ", 348 ," 18,139 ",,,,,
, Oakland Park , OKL ," 3,097 "," 2,968 ", 314 ," 13,923 ", D , -   , D , 39 ," 3,098 "," 2,968 ", 318 ," 13,962 ",,,,,
, Orlando  , ORL ," 2,981 "," 3,396 ", 688 ," 9,647 ", D , D , D , 44 ," 2,987 "," 3,398 ", 691 ," 9,691 ",,,,,
, Tampa  , TAM ," 3,262 "," 3,324 ", 434 ," 7,587 ", 11 , 14 , D , 28 ," 3,273 "," 3,338 ", 435 ," 7,615 ",,,,,
, West Palm Beach , WPB ," 2,470 "," 2,826 ", 531 ," 5,562 ", D , D , -   , 27 ," 2,476 "," 2,831 ", 531 ," 5,589 ",,,,,
 Georgia ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Atlanta  , ATL ," 5,261 "," 3,932 ", 614 ," 21,567 ", 20 , D , -   , 135 ," 5,281 "," 3,940 ", 614 ," 21,702 ",,,,,
 Hawaii ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Honolulu  , HHW , 980 , 588 , 115 ," 3,249 ", 25 , 22 , -   , 57 ," 1,005 ", 610 , 115 ," 3,306 ",,,,,
 Idaho ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
, Boise  , BOI , 472 , 510 , 36 , 795 , D , D , -   , D , 475 , 512 , 36 , 804 ,,,,,
 Illinois ,,,  ,   ,   ,   ,  ,   ,   ,   ,,   ,   ,   ,,,,,
