,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,,Total,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,
 Total ,,," 215,307 "," 209,972 "," 25,632 "," 733,974 ", 798 ," 1,557 ", 214 ," 4,174 "," 216,105 "," 211,529 "," 25,846 "," 738,148 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,
, Montgomery , MGA , 985 ," 2,030 ", 116 ," 4,377 ", D , 16 , D , 60 , 993 ," 2,046 ", 117 ," 4,437 ",
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Anchorage  , ANC , 271 , 483 , 29 , 446 , D , 25 , -   , 25 , 279 , 508 , 29 , 471 ,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Phoenix  , PHO ," 3,098 "," 2,787 ", 376 ," 12,664 ", D , 14 , D , 29 ," 3,103 "," 2,801 ", 378 ," 12,693 ",
, Tucson , TUC , 734 , 667 , 79 ," 1,731 ", D , D , -   , 14 , 736 , 675 , 79 ," 1,745 ",
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Fort Smith  , FSA , 327 , 301 , 35 , 953 , D , D , -   , D , 329 , 304 , 35 , 961 ,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
, Fresno  , FRE ," 2,816 "," 3,133 ", 287 ," 6,257 ", D , D , D , 26 ," 2,825 "," 3,138 ", 289 ," 6,283 ",
, Imperial , IMP , 346 , 410 , 142 ," 1,229 ", -   , -   , -   , D , 346 , 410 , 142 ," 1,230 ",
, Los Angeles  , LOS ," 4,978 "," 3,627 ", 441 ," 15,616 ", 10 , 17 , D , 58 ," 4,988 "," 3,644 ", 442 ," 15,674 ",
, Los Angeles County  , LAC ," 4,705 "," 5,688 "," 1,017 "," 14,581 ", D , 15 , D , 59 ," 4,712 "," 5,703 "," 1,021 "," 14,640 ",
, Sacramento  , SAC ," 3,711 "," 2,969 ", 348 ," 10,786 ", D , D , D , 40 ," 3,718 "," 2,976 ", 355 ," 10,826 ",
, San Bernardino , SBD ," 4,637 "," 4,057 ", 562 ," 8,332 ", 20 , 30 , D , 60 ," 4,657 "," 4,087 ", 571 ," 8,392 ",
, San Diego  , SND ," 4,186 "," 4,749 ", 387 ," 8,984 ", 36 , 89 , 15 , 129 ," 4,222 "," 4,838 ", 402 ," 9,113 ",
, San Fernando Valley , SFV ," 3,902 "," 2,583 ", 336 ," 16,827 ", 12 , D , D , 41 ," 3,914 "," 2,591 ", 338 ," 16,868 ",
, San Francisco , SFR ," 7,628 "," 5,503 ", 390 ," 29,694 ", 21 , 26 , D , 94 ," 7,649 "," 5,529 ", 396 ," 29,788 ",
, San Jose  , SNJ ," 4,381 "," 3,211 ", 214 ," 12,344 ", D , D , D , 46 ," 4,387 "," 3,220 ", 215 ," 12,390 ",
, Santa Ana , SAA ," 4,556 "," 3,538 ", 740 ," 14,867 ", 12 , 18 , D , 34 ," 4,568 "," 3,556 ", 742 ," 14,901 ",
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Denver  , DEN ," 2,369 "," 2,657 ", 456 ," 9,256 ", 15 , 39 , D , 69 ," 2,384 "," 2,696 ", 459 ," 9,325 ",
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Hartford  , HAR ," 2,356 "," 2,140 ", 262 ," 7,291 ", D , D , D , 32 ," 2,361 "," 2,149 ", 263 ," 7,323 ",
 Delaware ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Dover AFB , DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Washington  , WAS ," 4,924 "," 4,733 ", 400 ," 16,966 ", 19 , 29 , -   , 79 ," 4,943 "," 4,762 ", 400 ," 17,045 ",
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Fort Meyers , OFM ," 1,201 "," 1,477 ", 275 ," 5,202 ", -   , -   , -   , D ," 1,201 "," 1,477 ", 275 ," 5,205 ",
, Hialeah , HIA ," 3,711 "," 3,307 ", 417 ," 8,028 ", D , -   , -   , 15 ," 3,712 "," 3,307 ", 417 ," 8,043 ",
, Jacksonville , JAC ," 1,319 "," 1,665 ", 173 ," 2,223 ", D , 13 , -   , 29 ," 1,326 "," 1,678 ", 173 ," 2,252 ",
, Kendall , KND ," 3,803 "," 4,537 ", 494 ," 9,538 ", D , D , -   , D ," 3,805 "," 4,540 ", 494 ," 9,546 ",
, Miami  , MIA ," 3,185 "," 3,364 ", 360 ," 17,378 ", D , D , -   , 15 ," 3,188 "," 3,370 ", 360 ," 17,393 ",
, Oakland Park , OKL ," 2,968 "," 3,382 ", 467 ," 12,940 ", D , D , D , 25 ," 2,972 "," 3,388 ", 469 ," 12,965 ",
, Orlando  , ORL ," 2,888 "," 2,554 ", 404 ," 9,698 ", D , 11 , -   , 39 ," 2,893 "," 2,565 ", 404 ," 9,737 ",
, Tampa  , TAM ," 3,170 "," 4,036 ", 418 ," 6,429 ", D , 19 , D , 16 ," 3,174 "," 4,055 ", 419 ," 6,445 ",
, West Palm Beach , WPB ," 2,273 "," 1,928 ", 454 ," 6,330 ", D , D , -   , 24 ," 2,277 "," 1,936 ", 454 ," 6,354 ",
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Atlanta  , ATL ," 5,234 "," 3,599 ", 468 ," 22,855 ", 12 , 23 , 13 , 99 ," 5,246 "," 3,622 ", 481 ," 22,954 ",
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Honolulu  , HHW , 831 , 582 , 112 ," 3,366 ", 19 , 45 , D , 50 , 850 , 627 , 113 ," 3,416 ",
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Boise  , BOI , 473 , 501 , 16 , 745 , D , D , D , D , 475 , 505 , 17 , 753 ,
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Chicago  , CHI ," 7,113 "," 9,178 ", 768 ," 29,384 ", 23 , 36 , 11 , 109 ," 7,136 "," 9,214 ", 779 ," 29,493 ",
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Indianapolis  , INP ," 1,873 "," 1,489 ", 248 ," 3,925 ", D , 10 , D , 21 ," 1,875 "," 1,499 ", 249 ," 3,946 ",
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Des Moines , DSM ," 1,005 ", 652 , 85 ," 3,688 ", D , D , -   , 20 ," 1,010 ", 659 , 85 ," 3,708 ",
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Wichita , WIC , 334 , 544 , 55 , 677 , D , 11 , -   , 19 , 339 , 555 , 55 , 696 ,
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Louisville  , LOU ," 1,266 "," 1,165 ", 176 ," 2,260 ", D , 22 , -   , 35 ," 1,274 "," 1,187 ", 176 ," 2,295 ",
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, New Orleans  , NOL , 926 ," 1,082 ", 53 ," 3,888 ", 10 , 27 , D , 40 , 936 ," 1,109 ", 54 ," 3,928 ",
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Portland  , POM , 275 , 349 , 17 , 404 , -   , D , -   , D , 275 , 350 , 17 , 407 ,
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
, Baltimore  , BAL ," 4,685 "," 4,503 ", 182 ," 22,646 ", 21 , 32 , D , 102 ," 4,706 "," 4,535 ", 183 ," 22,748 ",
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
