,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category and Case Status ,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Grand Total ,,," 189,410 "," 174,109 "," 21,957 "," 727,740 ", 648 ," 1,141 ", 227 ," 4,093 "," 190,058 "," 175,250 "," 22,184 "," 731,833 "
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
, Montgomery , MGA , 869 ," 1,075 ", 155 ," 4,258 ", 13 , 11 , -   , 55 , 882 ," 1,086 ", 155 ," 4,313 "
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Anchorage  , ANC , 290 , 136 , 33 , 577 , D , D , D , 25 , 293 , 145 , 34 , 602 
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Phoenix  , PHO ," 2,346 "," 2,322 ", 277 ," 12,714 ", D , D , D , 31 ," 2,355 "," 2,330 ", 278 ," 12,745 "
, Tucson , TUC , 585 , 661 , 66 ," 1,458 ", D , D , D , 17 , 589 , 663 , 67 ," 1,475 "
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Fort Smith  , FSA , 284 , 122 , 21 ," 1,107 ", -   , D , D , D , 284 , 126 , 22 ," 1,113 "
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Fresno  , FRE ," 2,313 "," 2,793 ", 256 ," 5,653 ", D , 14 , D , 22 ," 2,321 "," 2,807 ", 259 ," 5,675 "
, Imperial , IMP , 367 , 239 , 122 ," 1,250 ", D , -   , -   , D , 369 , 239 , 122 ," 1,253 "
, Los Angeles  , LOS ," 3,938 "," 4,586 ", 389 ," 14,569 ", D , 14 , D , 46 ," 3,945 "," 4,600 ", 391 ," 14,615 "
, Los Angeles County  , LAC ," 3,766 "," 3,286 ", 672 ," 14,542 ", 12 , 16 , D , 55 ," 3,778 "," 3,302 ", 676 ," 14,597 "
, Sacramento  , SAC ," 3,070 "," 3,134 ", 305 ," 10,622 ", D , D , D , 36 ," 3,077 "," 3,143 ", 309 ," 10,658 "
, San Bernardino , SBD ," 3,767 "," 3,610 ", 582 ," 8,067 ", 10 , 19 , 11 , 49 ," 3,777 "," 3,629 ", 593 ," 8,116 "
, San Diego  , SND ," 3,599 "," 2,945 ", 272 ," 9,578 ", 14 , 23 , D , 153 ," 3,613 "," 2,968 ", 275 ," 9,731 "
, San Fernando Valley , SFV ," 3,200 "," 3,057 ", 251 ," 16,728 ", D , 16 , D , 29 ," 3,207 "," 3,073 ", 254 ," 16,757 "
, San Francisco , SFR ," 6,402 "," 2,729 ", 319 ," 33,077 ", 10 , 21 , D , 85 ," 6,412 "," 2,750 ", 324 ," 33,162 "
, San Jose  , SNJ ," 3,790 "," 2,315 ", 172 ," 13,650 ", D , D , D , 45 ," 3,795 "," 2,321 ", 173 ," 13,695 "
, Santa Ana , SAA ," 3,977 "," 3,204 ", 477 ," 15,185 ", 13 , 14 , D , 42 ," 3,990 "," 3,218 ", 478 ," 15,227 "
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Denver  , DEN ," 2,118 "," 2,610 ", 487 ," 8,426 ", D , 18 , D , 74 ," 2,125 "," 2,628 ", 495 ," 8,500 "
