"U.S. Citizenship and Immigration Services
Field Offices Form N-400 Applications for Naturalization Receipts, Completions and Pending
Fiscal Years: 2010 through 2012",,,,,,,,,
,,,,,,,,,
OFFICE,Fiscal Year,N-400 Natz Receipts,N-400 Natz Approvals,N-400 Natz Denials,N-400 Natz Pending,N-400 Mil Svc Receipts,N-400 Mil Svc Approvals,N-400 Mil Svc Denials,N-400 Mil Pending
ABQ,2012,1759,1791,84,622,15,24,0,6
AGA,2012,888,882,102,290,23,29,3,8
ALB,2012,2485,2251,140,816,10,4,0,4
ANC,2012,1322,1154,147,473,30,32,5,16
ATL,2012,22754,19064,1765,10019,685,293,62,185
BAL,2012,20044,16176,1103,9937,76,89,11,22
BOI,2012,1317,1255,160,424,15,15,0,6
BOS,2012,18498,15854,1168,7434,38,32,1,20
BUF,2012,3629,3260,372,1476,59,110,0,32
CHA,2012,450,383,52,123,2,2,0,2
CHI,2012,30701,27869,2326,12812,1380,1138,2,178
CHL,2012,3616,3073,230,1659,1557,1075,78,418
CHR,2012,266,204,24,113,2,0,0,3
CHS,2012,0,0,18,4,0,0,0,0
CIN,2012,2814,2564,168,923,10,18,0,2
CLE,2012,3945,3656,254,1242,18,14,1,8
CLM,2012,4376,4040,270,1469,9,3,0,3
CLT,2012,7011,5942,400,2945,21,14,2,6
CVC,2012,7577,6489,366,2954,64,142,1,33
DAL,2012,21954,19299,1505,8076,105,114,11,35
DEN,2012,8684,8131,845,3006,92,130,5,36
DET,2012,13303,11379,1696,5811,28,23,1,17
DSM,2012,2184,2009,208,926,5,5,1,1
DVD,2012,0,0,0,0,0,0,0,0
ELP,2012,4357,4060,349,1550,96,107,5,37
FRE,2012,11659,11043,1101,4012,53,45,6,14
FSA,2012,1125,910,73,516,5,0,0,4
GCU,2012,998,2089,189,0,9,1,1,0
GRR,2012,0,0,0,0,0,0,0,0
HAR,2012,10705,8717,1211,5171,39,42,3,11
HEL,2012,323,311,31,105,9,15,2,2
HHW,2012,3932,3040,313,1646,334,115,27,109
HIA,2012,21623,16362,1229,8782,19,21,8,13
HLG,2012,3337,2715,448,1375,14,15,4,13
HOU,2012,24729,21715,1650,11099,83,88,14,20
IMP,2012,3232,1642,86,1757,3,5,0,2
INP,2012,3754,3338,272,1424,14,9,1,4
JAC,2012,5090,4421,195,1944,120,127,1,34
KAN,2012,3824,3882,178,1381,183,176,29,65
KND,2012,19176,14120,1379,8807,39,23,12,15
LAC,2012,9674,11681,1099,9859,9,63,9,1
LAW,2012,8415,6911,800,3152,23,16,3,7
LNY,2012,23501,17015,1189,15070,41,57,5,12
LOS,2012,34788,33049,1941,12192,136,71,8,24
LOU,2012,3283,2772,345,1268,61,93,11,18
LVG,2012,8164,6555,664,4961,41,61,13,11
MAN,2012,1730,1504,129,480,6,12,2,2
MEM,2012,7014,6392,593,2638,46,59,9,2
MIA,2012,20635,15953,1637,9071,32,27,6,17
MIL,2012,4255,3842,388,1718,14,18,2,5
MTL,2012,7821,6611,336,3006,37,21,1,23
NEW,2012,42820,36360,2983,15769,82,61,12,38
NOL,2012,3760,2859,410,1707,62,121,3,14
NOR,2012,4277,3721,270,1940,404,509,101,104
NYC,2012,74142,54037,5562,39039,151,162,52,124
OKC,2012,2888,2630,319,1201,599,476,17,156
OKL,2012,22178,16422,1525,9305,38,34,5,14
OMA,2012,2915,2334,328,974,10,10,2,13
ORL,2012,14508,10557,1074,7227,49,32,10,24
PHI,2012,19410,15920,1115,8931,49,74,7,17
PHO,2012,12596,9885,1319,5469,67,39,8,24
PIT,2012,2553,2417,144,857,17,11,3,8
POM,2012,1072,939,29,399,4,10,1,2
POO,2012,8025,6889,413,3232,28,25,2,16
PRO,2012,3597,2893,413,1242,10,13,1,4
QNS,2012,19890,13487,1068,15364,0,38,9,4
RAL,2012,6104,5716,280,2041,294,229,26,190
REN,2012,1304,1096,119,481,10,11,0,4
SAA,2012,15908,15498,1490,7063,38,31,2,22
SAC,2012,16576,17399,1393,4728,52,65,34,17
SAJ,2012,2672,2192,106,1037,3,5,0,1
SBD,2012,14161,13370,1128,6851,106,129,21,21
SEA,2012,15858,14032,989,4688,140,187,3,41
SFR,2012,25105,21019,1768,10301,61,59,13,19
SFV,2012,16069,14949,830,7491,54,63,12,20
SLC,2012,4079,3856,292,1505,25,19,1,6
SNA,2012,10844,9355,849,3788,468,536,78,68
SND,2012,6526,6048,212,2742,361,331,15,101
SNJ,2012,16702,14397,1115,5866,37,35,2,15
SPM,2012,14251,13433,1283,4615,59,38,16,32
SPO,2012,934,888,36,326,16,11,0,11
STA,2012,538,584,31,183,3,5,1,0
STL,2012,3044,2820,180,987,10,14,0,1
TAM,2012,16450,13383,834,6978,52,58,1,17
TUC,2012,2822,2771,338,1091,26,38,1,9
WAS,2012,21636,21486,2225,9898,309,85,18,93
WIC,2012,1285,1133,83,523,9,10,1,5
WPB,2012,14018,8997,1133,6352,20,12,6,12
YAK,2012,1490,1411,110,300,1,5,0,1
,,,,,,,,,
Data: Based on September 2012 Final,,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,,
"Report Created: October 31, 2012",,,,,,,,,
Report Frequency: Monthly,,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - KMS",,,,,,,,,
Parameters:,,,,,,,,,
Date: Oct 2009 - Sep 2012 (updated FY2012 data),,,,,,,,,
Form Type(s):  N-400,,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials, and Pending",,,,,,,,,
USCIS Offices/Centers: Field Offices,,,,,,,,,
