"U.S. Citizenship and Immigration Services
Field Offices Form N-400 Applications for Naturalization Receipts, Completions and Pending
Fiscal Years: 2010 through 2013 (November 2012)",,,,,,,,,,,,,
,,, N-400 Non-Military , N-400 Non-Military , N-400 Non-Military , N-400 Non-Military ,N-400 Military,N-400 Military,N-400 Military,N-400 Military, Total Naturalization Applications  , Total Naturalization Applications  , Total Naturalization Applications  
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2010,ABQ,ALBUQUERQUE NM ,"1,657","1,560",75,604,23,21,1,2,"1,680","1,657",606
2010,AGA,AGANA GUAM ,672,650,55,304,91,44,16,34,763,765,338
2010,ALB,ALBANY NY ,"2,018","1,809",123,774,16,4, -   ,8,"2,034","1,936",782
2010,ANC,ANCHORAGE AK ,956,775,98,385,41,37,2,21,997,912,406
2010,ATL,ATLANTA GA ,"21,342","19,368","1,766","8,938",853,763,40,297,"22,195","21,937","9,235"
2010,BAL,BALTIMORE MD ,"17,418","16,082","1,656","6,215",169,172,8,58,"17,587","17,918","6,273"
2010,BOI,BOISE ID ,"1,365","1,104",85,522,15,15,2,4,"1,380","1,206",526
2010,BOS,BOSTON MA ,"16,202","14,032",668,"7,428",97,67,11,17,"16,299","14,778","7,445"
2010,BUF,BUFFALO NY ,"2,992","2,750",220,"1,397",75,94,2,19,"3,067","3,066","1,416"
2010,CHA,CHARLOTTE AMALIE ,402,310,31,223,8,4,1,2,410,346,225
2010,CHI,CHICAGO IL ,"29,440","26,582","2,594","12,483",619,336,2,120,"30,059","29,514","12,603"
2010,CHL,CHARLESTON SC ,"3,195","2,235",181,"1,702","1,549",597,6,203,"4,744","3,019","1,905"
2010,CHR,CHRISTIANSTED VI ,214,188,41,73,8,6, -   ,2,222,235,75
2010,CHS,CHARLESTON WV, -   ,1,4,4, -   , -   , -   , -   , -   ,5,4
2010,CIN,CINCINNATI OH ,"2,159","2,110",157,812,19,13,1,6,"2,178","2,281",818
2010,CLE,CLEVELAND OH ,"3,630","3,380",280,"1,253",26,18, -   ,13,"3,656","3,678","1,266"
2010,CLM,COLUMBUS OH,"3,707","3,344",229,"1,077",14,17,1,10,"3,721","3,591","1,087"
2010,CLT,CHARLOTTE NC ,"5,708","4,844",489,"2,561",26,16,3,8,"5,734","5,352","2,569"
2010,CVC,CHULA VISTA CA,"5,906","4,777",281,"2,399",109,234,9,65,"6,015","5,301","2,464"
2010,DAL,DALLAS TX ,"19,532","18,342","1,307","5,738",176,142,6,43,"19,708","19,797","5,781"
2010,DEN,DENVER CO ,"7,926","7,168",559,"2,695",143,180,9,22,"8,069","7,916","2,717"
2010,DET,DETROIT MI ,"12,555","11,256","1,566","4,991",55,34,3,33,"12,610","12,859","5,024"
2010,DSM,DES MOINES IA,"1,945","1,578",243,743,11,7,2,4,"1,956","1,830",747
2010,DVD,DOVER DE AFB , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2010,ELP,EL PASO TX ,"3,253","2,807",301,"1,454",174,208,8,33,"3,427","3,324","1,487"
2010,FRE,FRESNO CA ,"7,613","6,078",776,"3,054",96,99,17,19,"7,709","6,970","3,073"
2010,FSA,FORT SMITH AR ,955,821,94,368,8,1,1,3,963,917,371
2010,GCU,GARDEN CITY NY,767,"32,729","3,426","5,339", -   ,20,6,2,767,"36,181","5,341"
2010,GRR,GREER SC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2010,HAR,HARTFORD CT ,"9,304","7,504","1,293","4,522",67,32,12,3,"9,371","8,841","4,525"
2010,HEL,HELENA MT ,281,245,17,105,9,13, -   ,1,290,275,106
2010,HHW,HONOLULU HI ,"3,351","2,748",266,"1,607",478,233,33,122,"3,829","3,280","1,729"
2010,HIA,HIALEAH FL,"11,716","10,004",746,"3,734",50,44,1,9,"11,766","10,795","3,743"
2010,HLG,HARLINGEN TX ,"2,439","2,032",400,995,46,24,2,6,"2,485","2,458","1,001"
2010,HOU,HOUSTON TX ,"20,764","17,308","1,771","8,850",155,119,15,37,"20,919","19,213","8,887"
2010,IMP,IMPERIAL CA,762,677,52,297,9,6, -   ,3,771,735,300
2010,INP,INDIANAPOLIS IN ,"3,468","3,223",248,"1,312",38,31,4,7,"3,506","3,506","1,319"
2010,JAC,JACKSONV'L FL ,"4,668","4,546",271,"1,979",202,181,3,65,"4,870","5,001","2,044"
2010,KAN,KANSAS CITY MO ,"3,372","3,116",159,"1,310",286,285,13,96,"3,658","3,573","1,406"
2010,KND,KENDALL FL,"10,599","8,510",744,"4,383",73,63,4,30,"10,672","9,321","4,413"
2010,LAW,LAWRENCE MA,"7,143","7,371",395,"2,341",32,44,3,8,"7,175","7,813","2,349"
2010,LOS,LOS ANGELES CA ,"40,024","33,309","2,610","19,724",235,264,36,64,"40,259","36,219","19,788"
2010,LOU,LOUISVILLE KY ,"2,632","2,160",120,"1,190",396,270,17,111,"3,028","2,567","1,301"
2010,LVG,LAS VEGAS NV ,"7,074","5,682",742,"3,164",65,60,3,20,"7,139","6,487","3,184"
2010,MAN,MANCHESTER NH ,"1,700","1,666",88,429,9,6, -   ,2,"1,709","1,760",431
2010,MEM,MEMPHIS TN ,"6,240","4,876",597,"2,810",79,60,8,22,"6,319","5,541","2,832"
2010,MIA,MIAMI FL ,"11,245","8,520",779,"5,214",67,7,4,31,"11,312","9,310","5,245"
2010,MIL,MILWAUKEE WI ,"3,785","3,570",270,"1,595",19,10, -   ,11,"3,804","3,850","1,606"
2010,MTL,MOUNT LAUREL NJ,"5,841","5,334",446,"2,045",49,23,1,24,"5,890","5,804","2,069"
2010,NEW,NEWARK NJ ,"32,490","29,227","3,168","12,502",185,140,23,81,"32,675","32,558","12,583"
2010,NOL,NEW ORLEANS LA ,"3,138","3,000",382,"1,085",71,115,4,8,"3,209","3,501","1,093"
2010,NOR,NORFOLK VA ,"3,490","3,141",266,"1,122",778,930,84,162,"4,268","4,421","1,284"
2010,NYC,NEW YORK NY ,"74,892","31,563","4,174","30,816",436,307,78,247,"75,328","36,122","31,063"
2010,OKC,OKLAHOMA CITY OK ,"2,430","2,566",315,810,680,350,10,290,"3,110","3,241","1,100"
2010,OKL,OAKLAND PARK FL,"13,961","11,068",885,"5,300",76,47,8,33,"14,037","12,008","5,333"
2010,OMA,OMAHA NE ,"2,134","1,899",183,632,20,14,1,3,"2,154","2,097",635
2010,ORL,ORLANDO FL ,"10,331","8,771","1,033","4,297",83,52,3,20,"10,414","9,859","4,317"
2010,PHI,PHILADELPHI PA ,"16,168","15,975","1,255","6,558",95,66,1,25,"16,263","17,297","6,583"
2010,PHO,PHOENIX AZ ,"10,380","8,139",661,"4,708",100,64,20,25,"10,480","8,884","4,733"
2010,PIT,PITTSBURGH PA ,"2,509","2,445",70,976,17,17,2,6,"2,526","2,534",982
2010,POM,PORTLAND ME ,888,822,62,245,14,15,1, -   ,902,900,245
2010,POO,PORTLAND OR ,"6,040","5,312",311,"2,341",46,34,2,18,"6,086","5,659","2,359"
2010,PRO,PROVIDENCE RI ,"2,510","2,053",189,949,31,28,2,5,"2,541","2,272",954
2010,RAL,RALEIGH NC,"5,360","4,955",230,"1,914",481,279,24,210,"5,841","5,488","2,124"
2010,REN,RENO NV ,"1,196","1,022",76,470,14,20, -   ,4,"1,210","1,118",474
2010,SAA,SANTA ANA CA,"13,111","12,388","1,253","6,155",75,50,16,18,"13,186","13,707","6,173"
2010,SAC,SACRAMENTO CA ,"11,441","9,873",623,"4,643",107,87,12,103,"11,548","10,595","4,746"
2010,SAJ,SAN JUAN PR ,"1,508","1,316",167,557,18,17, -   ,5,"1,526","1,500",562
2010,SBD,SAN BERNADINO CA,"10,719","8,510",813,"5,093",144,193,14,38,"10,863","9,530","5,131"
2010,SEA,SEATTLE WA ,"14,574","14,514","1,003","3,919",240,230,12,47,"14,814","15,759","3,966"
2010,SFR,SAN FRAN. CA ,"24,324","22,780","1,684","8,804",116,125,9,45,"24,440","24,598","8,849"
2010,SFV,SAN FERNANDO VALLEY CA,"13,406","9,485","1,168","6,099",74,1, -   ,12,"13,480","10,654","6,111"
2010,SLC,SALT LAKE CITY UT ,"3,314","2,838",217,"1,308",33,31,1,8,"3,347","3,087","1,316"
2010,SNA,SAN ANTONIO TX ,"8,775","7,346",783,"3,428",490,546,17,132,"9,265","8,692","3,560"
2010,SND,SAN DIEGO CA ,"5,702","6,112",177,"2,167",773,663,13,133,"6,475","6,965","2,300"
2010,SNJ,SAN JOSE CA ,"14,439","14,672",818,"4,559",40,37,1,5,"14,479","15,528","4,564"
2010,SPM,ST PAUL MN ,"11,781","9,965","1,253","4,519",80,62,11,15,"11,861","11,291","4,534"
2010,SPO,SPOKANE WA ,819,705,50,275,14,19,3,2,833,777,277
2010,STA,ST ALBANS VT ,459,409,28,166,3, -   , -   ,4,462,437,170
2010,STL,ST LOUIS MO ,"2,717","2,684",94,"1,264",31,26,1,22,"2,748","2,805","1,286"
2010,TAM,TAMPA FL ,"11,576","9,279",860,"5,087",73,64,7,14,"11,649","10,210","5,101"
2010,TUC,TUCSON AZ/SUB ,"2,228","2,022",182,891,58,135,8,15,"2,286","2,347",906
2010,WAS,WASHINGTON DC ,"18,127","14,351","1,475","9,338",475,71,27,211,"18,602","15,924","9,549"
2010,WIC,WICHITA KS,"1,090",977,77,359,10,14,2,1,"1,100","1,070",360
2010,WPB,WEST PALM BEACH FL,"8,581","6,889",838,"3,354",51,43,14,17,"8,632","7,784","3,371"
2010,YAK,YAKIMA WA,"1,174","1,092",99,275,8,3,1,2,"1,182","1,195",277
2010 Total,,,"697,719","609,246","56,241","288,127","12,825","9,819",748,"3,706","710,544","676,054","291,833"
2011,ABQ,ALBUQUERQUE NM ,"1,896","1,684",104,707,17,16, -   ,6,"1,913","1,804",713
2011,AGA,AGANA GUAM ,684,752,57,298,20,18,14,19,704,841,317
2011,ALB,ALBANY NY ,"2,141","2,077",181,631,12,3, -   ,8,"2,153","2,261",639
2011,ANC,ANCHORAGE AK ,"1,233","1,043",155,426,44,61,7,10,"1,277","1,266",436
2011,ATL,ATLANTA GA ,"21,468","20,120","1,857","7,705",591,465,67,231,"22,059","22,509","7,936"
2011,BAL,BALTIMORE MD ,"17,951","15,625","1,083","7,406",113,116,6,37,"18,064","16,830","7,443"
2011,BOI,BOISE ID ,"1,525","1,393",166,508,7,9,2,2,"1,532","1,570",510
2011,BOS,BOSTON MA ,"16,075","17,526",642,"6,861",38,57,6,24,"16,113","18,231","6,885"
2011,BUF,BUFFALO NY ,"3,258","2,870",287,"1,528",51,88, -   ,14,"3,309","3,245","1,542"
2011,CHA,CHARLOTTE AMALIE ,362,430,75,92,5,5, -   ,2,367,510,94
2011,CHI,CHICAGO IL ,"29,257","28,541","2,660","11,676","1,280",874,1,83,"30,537","32,076","11,759"
2011,CHL,CHARLESTON SC ,"3,103","3,186",283,"1,316","1,652",910,31,350,"4,755","4,410","1,666"
2011,CHR,CHRISTIANSTED VI ,206,189,34,78,11,6,3,4,217,232,82
2011,CHS,CHARLESTON WV, -   , -   ,8,5, -   , -   , -   , -   , -   ,8,5
2011,CIN,CINCINNATI OH ,"2,345","2,264",137,803,18,20, -   ,6,"2,363","2,421",809
2011,CLE,CLEVELAND OH ,"3,566","3,587",218,"1,080",13,17,1,4,"3,579","3,823","1,084"
2011,CLM,COLUMBUS OH,"3,934","3,461",307,"1,300",12,8,3,7,"3,946","3,779","1,307"
2011,CLT,CHARLOTTE NC ,"5,899","5,543",432,"2,302",25,15, -   ,16,"5,924","5,990","2,318"
2011,CVC,CHULA VISTA CA,"6,587","5,789",249,"2,560",68,130,5,19,"6,655","6,173","2,579"
2011,DAL,DALLAS TX ,"20,078","17,072","1,271","7,087",130,111,11,54,"20,208","18,465","7,141"
2011,DEN,DENVER CO ,"8,338","7,757",593,"3,422",93,130,5,62,"8,431","8,485","3,484"
2011,DET,DETROIT MI ,"12,010","10,494","1,340","5,464",35,31,3,25,"12,045","11,868","5,489"
2011,DSM,DES MOINES IA,"1,921","1,560",264,957,8,11,2,2,"1,929","1,837",959
2011,DVD,DOVER DE AFB , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2011,ELP,EL PASO TX ,"3,995","3,653",320,"1,580",105,129,8,45,"4,100","4,110","1,625"
2011,FRE,FRESNO CA ,"11,428","9,375",905,"4,198",97,101,19,17,"11,525","10,400","4,215"
2011,FSA,FORT SMITH AR ,"1,028",960,111,386,8,3,2,2,"1,036","1,076",388
2011,GCU,GARDEN CITY NY, -   ,"13,898","1,833","2,413",58,10,4,12,58,"15,745","2,425"
2011,GRR,GREER SC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2011,HAR,HARTFORD CT ,"9,414","8,442","1,422","4,187",46,14,9,17,"9,460","9,887","4,204"
2011,HEL,HELENA MT ,312,283,14,120,21,16, -   ,4,333,313,124
2011,HHW,HONOLULU HI ,"3,285","3,264",276,"1,203",536,180,26,117,"3,821","3,746","1,320"
2011,HIA,HIALEAH FL,"14,065","12,408","1,033","4,753",34,38,4,12,"14,099","13,483","4,765"
2011,HLG,HARLINGEN TX ,"3,250","2,757",397,"1,174",34,32,1,9,"3,284","3,187","1,183"
2011,HOU,HOUSTON TX ,"22,831","20,758","1,515","9,843",90,86,4,16,"22,921","22,363","9,859"
2011,IMP,IMPERIAL CA,"1,174",963,29,391,9,10, -   ,2,"1,183","1,002",393
2011,INP,INDIANAPOLIS IN ,"3,505","3,434",218,"1,221",19,20,2,3,"3,524","3,674","1,224"
2011,JAC,JACKSONV'L FL ,"4,570","4,670",212,"1,553",145,163,1,22,"4,715","5,046","1,575"
2011,KAN,KANSAS CITY MO ,"3,560","3,260",174,"1,507",233,177,32,76,"3,793","3,643","1,583"
2011,KND,KENDALL FL,"12,660","11,389",995,"5,125",34,35,4,11,"12,694","12,423","5,136"
2011,LAW,LAWRENCE MA,"6,934","6,496",663,"2,202",27,17, -   ,16,"6,961","7,176","2,218"
2011,LNY,LONG ISLAND NY,"16,238","13,876",898,"7,983", -   ,47,4,3,"16,238","14,825","7,986"
2011,LOS,LOS ANGELES CA ,"40,143","37,779","2,682","23,225",139,150,19,22,"40,282","40,630","23,247"
