,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,,"179,358","205,569","20,888","307,953","2,754","2,600",226,"4,074","182,112","208,169","21,114","312,027"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Anchorage ,257,316,39,365, D ,15, D ,20,263,331,42,385
,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Phoenix ,"2,759","2,399",312,"4,700",16,12, D ,21,"2,775","2,411",315,"4,721"
,,,,,,,,,,,,,
,Tucson,636,513,80,"1,166",10, D , D ,12,646,519,81,"1,178"
,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Fort Smith ,232,202,22,411, D , D , -   , D ,233,203,22,413
,,,,,,,,,,,,,
California,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Chula Vista,"1,582","1,928",121,"2,004",36,50, D ,108,"1,618","1,978",130,"2,112"
,,,,,,,,,,,,,
,Fresno ,"2,191","2,329",232,"3,061",13,14, D ,11,"2,204","2,343",233,"3,072"
,,,,,,,,,,,,,
,Imperial,408,611,121,810, D , -   , D , D ,409,611,123,812
,,,,,,,,,,,,,
,Los Angeles ,"5,065","6,278",429,"7,876",24, D , -   ,16,"5,089","6,282",429,"7,892"
,,,,,,,,,,,,,
,Los Angeles County ,"4,806","5,502",499,"7,827", D ,12, D ,17,"4,812","5,514",501,"7,844"
,,,,,,,,,,,,,
,Sacramento ,"3,064","3,573",271,"3,898",17,17, D ,17,"3,081","3,590",277,"3,915"
,,,,,,,,,,,,,
,San Bernardino,"3,308","3,469",377,"6,482",23,35, D ,34,"3,331","3,504",380,"6,516"
,,,,,,,,,,,,,
,San Diego ,"2,092","2,029",137,"3,285",117,55, D ,123,"2,209","2,084",138,"3,408"
,,,,,,,,,,,,,
,San Fernando Valley,"3,275","3,909",267,"6,012", D ,18, D ,14,"3,281","3,927",273,"6,026"
,,,,,,,,,,,,,
,San Francisco,"5,607","5,936",393,"8,339",12,12, D ,17,"5,619","5,948",394,"8,356"
,,,,,,,,,,,,,
,San Jose ,"3,837","4,261",317,"4,344", D , D , D , D ,"3,841","4,268",318,"4,350"
,,,,,,,,,,,,,
,Santa Ana,"3,673","3,223",294,"6,549", D ,12, D ,13,"3,680","3,235",295,"6,562"
,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Denver ,"1,976","1,685",174,"4,004", D ,33, D ,19,"1,982","1,718",175,"4,023"
,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hartford ,"2,136","2,703",362,"4,335",12, D , -   ,19,"2,148","2,709",362,"4,354"
,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dover AFB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
