USCIS Field Office or Service Center Location,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,,"155,582","154,902","17,306","294,431","2,204","2,123",241,"3,003","157,786","157,025","17,547","297,434"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Anchorage ,274,174,30,447,10,18, -   ,18,284,192,30,465
,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Phoenix ,"2,241","2,463",266,"4,347",14,11, D ,24,"2,255","2,474",267,"4,371"
,,,,,,,,,,,,,
,Tucson,536,638,73,"1,000", D , D , D , D ,537,640,75,"1,009"
,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Fort Smith ,202,198,20,387, -   , D , D , -   ,202,199,21,387
,,,,,,,,,,,,,
California,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Chula Vista,"1,362","1,365",88,"1,941",13,82,18,85,"1,375","1,447",106,"2,026"
,,,,,,,,,,,,,
,Fresno ,"1,898","1,993",182,"2,931",11,11, D ,14,"1,909","2,004",183,"2,945"
,,,,,,,,,,,,,
,Imperial,321,517,66,550, -   , D , -   , D ,321,518,66,551
,,,,,,,,,,,,,
,Los Angeles ,"4,185","4,525",408,"8,412",20, D , -   ,26,"4,205","4,526",408,"8,438"
,,,,,,,,,,,,,
,Los Angeles County ,"4,035","4,075",588,"7,351", D ,16, D ,13,"4,041","4,091",590,"7,364"
,,,,,,,,,,,,,
,Sacramento ,"2,521","3,135",256,"3,109", D ,12, D ,13,"2,530","3,147",261,"3,122"
,,,,,,,,,,,,,
,San Bernardino,"2,907","3,466",430,"5,537",10,36, D ,11,"2,917","3,502",433,"5,548"
,,,,,,,,,,,,,
,San Diego ,"1,934","2,372",155,"2,722",109,56, D ,108,"2,043","2,428",157,"2,830"
,,,,,,,,,,,,,
,San Fernando Valley,"3,046","3,110",197,"5,795",11, D , D ,15,"3,057","3,118",198,"5,810"
,,,,,,,,,,,,,
,San Francisco,"4,704","4,685",369,"8,141", D , D , D ,13,"4,706","4,690",373,"8,154"
,,,,,,,,,,,,,
,San Jose ,"3,116","2,833",252,"4,474", D , D , -   ,10,"3,123","2,836",252,"4,484"
,,,,,,,,,,,,,
,Santa Ana,"3,136","2,831",192,"6,724", D ,14, -   , D ,"3,140","2,845",192,"6,728"
,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Denver ,"1,738","1,348",194,"4,191",13,13, D ,24,"1,751","1,361",195,"4,215"
,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hartford ,"1,981","2,176",175,"3,997", D ,17, -   ,10,"1,985","2,193",175,"4,007"
,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,
,,,,,,,,,,,,,
