,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,,"177,308","186,369","16,508","379,790","2,343","2,229",190,"4,467","179,651","188,598","16,698","384,257"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Anchorage ,272,370,36,404, D ,13, -   ,11,278,383,36,415
,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Phoenix ,"2,589","1,749",194,"6,796",14,12, D ,17,"2,603","1,761",195,"6,813"
,,,,,,,,,,,,,
,Tucson,658,681,89,"1,291",10,23, -   ,12,668,704,89,"1,303"
,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Fort Smith ,245,349,17,406, D , D , -   , D ,246,353,17,408
,,,,,,,,,,,,,
California,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Chula Vista,"1,533","1,514",153,"3,112",108,77,16,101,"1,641","1,591",169,"3,213"
,,,,,,,,,,,,,
,Fresno ,"2,128","2,215",178,"5,050", D ,12, D , D ,"2,132","2,227",179,"5,056"
,,,,,,,,,,,,,
,Imperial,299,400,81,421, -   , -   , -   , -   ,299,400,81,421
,,,,,,,,,,,,,
,Los Angeles ,"4,596","5,508",278,"9,972",15, D , D ,16,"4,611","5,511",279,"9,988"
,,,,,,,,,,,,,
,Los Angeles County ,"4,226","4,908",583,"13,026",11,10, D ,16,"4,237","4,918",591,"13,042"
,,,,,,,,,,,,,
,Sacramento ,"3,014","3,778",260,"4,209",12, D , D ,17,"3,026","3,785",261,"4,226"
,,,,,,,,,,,,,
,San Bernardino,"3,122","3,568",412,"9,574",22,29, D ,48,"3,144","3,597",416,"9,622"
,,,,,,,,,,,,,
,San Diego ,"2,316","1,752",94,"4,593",25,92, D ,49,"2,341","1,844",96,"4,642"
,,,,,,,,,,,,,
,San Fernando Valley,"3,344","4,080",231,"8,959",11,21, D ,24,"3,355","4,101",233,"8,983"
,,,,,,,,,,,,,
,San Francisco,"5,542","5,861",338,"10,298", D , D , D ,19,"5,549","5,865",339,"10,317"
,,,,,,,,,,,,,
,San Jose ,"3,638","3,674",250,"5,643", D , D , -   , D ,"3,644","3,679",250,"5,650"
,,,,,,,,,,,,,
,Santa Ana,"3,325","2,165",201,"11,521", D , D , D , D ,"3,331","2,172",202,"11,523"
,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Denver ,"1,983","1,615",241,"5,884",17,17, -   ,22,"2,000","1,632",241,"5,906"
,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hartford ,"2,203","2,306",140,"5,213", D ,18, -   ,17,"2,209","2,324",140,"5,230"
,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dover AFB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
