,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,,"161,833","150,832","16,099","377,349","2,095","1,728",194,"3,290","163,928","152,560","16,293","380,639"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Anchorage ,311,215,35,501, D , D , D ,20,320,217,36,521
,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Phoenix ,"2,113","1,768",500,"6,866", D , D , D ,10,"2,118","1,772",502,"6,876"
,,,,,,,,,,,,,
,Tucson,557,691,103,"1,075", D , D , D ,13,560,700,104,"1,088"
,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Fort Smith ,237,221,15,495, -   , -   , -   , D ,237,221,15,496
,,,,,,,,,,,,,
California,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Chula Vista,"1,328","1,758",231,"2,517",88,72,23,116,"1,416","1,830",254,"2,633"
,,,,,,,,,,,,,
,Fresno ,"1,719","1,398",228,"5,101", D , D , D , D ,"1,722","1,400",231,"5,105"
,,,,,,,,,,,,,
,Imperial,231,241,71,340, -   , -   , -   , -   ,231,241,71,340
,,,,,,,,,,,,,
,Los Angeles ,"4,011","5,533",366,"8,133", D , D , -   ,19,"4,017","5,534",366,"8,152"
,,,,,,,,,,,,,
,Los Angeles County ,"3,655","5,678",564,"10,438",11,11, D ,15,"3,666","5,689",568,"10,453"
,,,,,,,,,,,,,
,Sacramento ,"2,611","3,140",267,"3,442", D , D , D , D ,"2,617","3,147",269,"3,450"
,,,,,,,,,,,,,
,San Bernardino,"2,669","3,465",306,"8,505",15,38, D ,36,"2,684","3,503",309,"8,541"
,,,,,,,,,,,,,
,San Diego ,"1,935","2,071",169,"4,371",38,26, -   ,59,"1,973","2,097",169,"4,430"
,,,,,,,,,,,,,
,San Fernando Valley,"2,887","4,408",293,"7,117", D ,13, D ,18,"2,894","4,421",294,"7,135"
,,,,,,,,,,,,,
,San Francisco,"4,715","4,137",327,"10,610",10, D , D ,16,"4,725","4,140",330,"10,626"
,,,,,,,,,,,,,
,San Jose ,"3,174","3,131",331,"5,448", D , D , D , D ,"3,177","3,136",332,"5,451"
,,,,,,,,,,,,,
,Santa Ana,"3,058","2,950",179,"11,375", D , D , -   , D ,"3,067","2,956",179,"11,381"
,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Denver ,"1,972","1,756",217,"6,049",15,11, D ,30,"1,987","1,767",219,"6,079"
,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Hartford ,"2,125","2,161",117,"5,041", D ,11, D , D ,"2,132","2,172",118,"5,050"
,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dover AFB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
