,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"195,097","171,836","17,762","384,043","2,493","1,952",163,"4,369","197,590","173,788","17,925","388,412"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Anchorage ,ANC,312,259,37,539,6,6,1,15,318,265,38,554
,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Phoenix ,PHO,"2,723","3,380",333,"5,913",4,8, -   ,13,"2,727","3,388",333,"5,926"
,,,,,,,,,,,,,,
,Tucson,TUC,619,664,139,934,6,7,2,11,625,671,141,945
,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Fort Smith ,FSA,269,236,18,518,2, -   ,1,3,271,236,19,521
,,,,,,,,,,,,,,
California,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Chula Vista,CVC,"1,725","1,518",190,"2,922",83,72,26,174,"1,808","1,590",216,"3,096"
,,,,,,,,,,,,,,
,Fresno ,FRE,"2,215","2,261",308,"4,759",8,4, -   ,9,"2,223","2,265",308,"4,768"
,,,,,,,,,,,,,,
,Imperial,IMP,314,215,42,399, -   , -   , -   , -   ,314,215,42,399
,,,,,,,,,,,,,,
,Los Angeles ,LOS,"4,487","4,257",484,"7,862",4,1, -   ,22,"4,491","4,258",484,"7,884"
,,,,,,,,,,,,,,
,Los Angeles County ,LAC,"4,517","4,904",922,"9,167",4,9,4,6,"4,521","4,913",926,"9,173"
,,,,,,,,,,,,,,
,Sacramento ,SAC,"3,427","2,507",264,"4,183",8,1, -   ,10,"3,435","2,508",264,"4,193"
,,,,,,,,,,,,,,
,San Bernardino,SBD,"3,492","4,222",537,"7,336",17,34,7,27,"3,509","4,256",544,"7,363"
,,,,,,,,,,,,,,
,San Diego ,SND,"2,052","2,012",175,"3,875",22,45,1,35,"2,074","2,057",176,"3,910"
,,,,,,,,,,,,,,
,San Fernando Valley,SFV,"3,668","3,925",345,"6,549",8,16,2,15,"3,676","3,941",347,"6,564"
,,,,,,,,,,,,,,
,San Francisco,SFR,"5,583","6,052",335,"9,837",5,3,1,13,"5,588","6,055",336,"9,850"
,,,,,,,,,,,,,,
,San Jose ,SNJ,"3,631","3,567",270,"5,258",2,2,1,3,"3,633","3,569",271,"5,261"
,,,,,,,,,,,,,,
,Santa Ana,SAA,"3,480","3,159",275,"11,375",6,7, -   ,5,"3,486","3,166",275,"11,380"
,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Denver ,DEN,"2,371","2,605",330,"5,300",19,24,4,34,"2,390","2,629",334,"5,334"
,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hartford ,HAR,"2,502","1,818",139,"5,604",5,5, -   ,13,"2,507","1,823",139,"5,617"
