,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"244,134","226,745","25,943","518,707","1,183","2,336",235,"3,858","245,317","229,081","26,178","522,565"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Anchorage ,ANC,295,264,74,633,2,10,1,11,297,274,75,644
,,,,,,,,,,,,,,
Arizona,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Phoenix ,PHO,"3,308","3,222",463,"7,641",3,12,1,22,"3,311","3,234",464,"7,663"
,,,,,,,,,,,,,,
,Tucson,TUC,943,528,96,"1,874",2,9, -   ,9,945,537,96,"1,883"
,,,,,,,,,,,,,,
Arkansas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Fort Smith ,FSA,435,357,18,803, -   ,2, -   ,4,435,359,18,807
,,,,,,,,,,,,,,
California,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
,Fresno ,FRE,"2,922","1,829",304,"6,098",6,7,3,10,"2,928","1,836",307,"6,108"
,,,,,,,,,,,,,,
,Imperial,IMP,535,336,45,995, -   ,1, -   , -   ,535,337,45,995
,,,,,,,,,,,,,,
,Los Angeles ,LOS,"5,535","4,383",335,"10,201",1,9, -   ,5,"5,536","4,392",335,"10,206"
,,,,,,,,,,,,,,
,Los Angeles County ,LAC,"6,311","5,527",686,"12,956",5,13,4,26,"6,316","5,540",690,"12,982"
,,,,,,,,,,,,,,
,Sacramento ,SAC,"3,902","2,977",248,"7,274", -   ,5,2,12,"3,902","2,982",250,"7,286"
,,,,,,,,,,,,,,
,San Bernardino,SBD,"4,862","3,682",473,"9,695",9,30,5,33,"4,871","3,712",478,"9,728"
,,,,,,,,,,,,,,
,San Diego ,SND,"4,434","6,791",388,"9,408",65,144,16,157,"4,499","6,935",404,"9,565"
,,,,,,,,,,,,,,
,San Fernando Valley,SFV,"4,416","4,269",254,"8,330",3,18,1,14,"4,419","4,287",255,"8,344"
,,,,,,,,,,,,,,
,San Francisco,SFR,"7,761","9,276",397,"14,869",4,5,3,19,"7,765","9,281",400,"14,888"
,,,,,,,,,,,,,,
,San Jose ,SNJ,"4,688","4,529",262,"9,586",3, -   , -   ,14,"4,691","4,529",262,"9,600"
,,,,,,,,,,,,,,
,Santa Ana,SAA,"4,727","4,665",518,"9,424",4,2,1,17,"4,731","4,667",519,"9,441"
,,,,,,,,,,,,,,
Colorado,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Denver ,DEN,"2,739","2,191",488,"5,601",12,17,3,51,"2,751","2,208",491,"5,652"
