,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total,,,"238,062","111,155","18,530","632,937","1,566","1,485",170,"3,227","239,628","112,640","18,700","636,164"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Anchorage ,ANC,336,146,32,774,4,2, -   ,12,340,148,32,786
,,,,,,,,,,,,,,
Arizona,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Phoenix ,PHO,"3,474","1,733",402,"9,116",7,8,1,26,"3,481","1,741",403,"9,142"
,,,,,,,,,,,,,,
,Tucson,TUC,855,519,88,"2,095",5,4,1,17,860,523,89,"2,112"
,,,,,,,,,,,,,,
Arkansas,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Fort Smith ,FSA,385,142,10,"1,087",1, -   , -   ,2,386,142,10,"1,089"
,,,,,,,,,,,,,,
California,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
,Fresno ,FRE,"2,754","1,359",235,"7,291",5,3, -   ,9,"2,759","1,362",235,"7,300"
,,,,,,,,,,,,,,
,Imperial,IMP,573,218,61,"1,285", -   , -   , -   , -   ,573,218,61,"1,285"
,,,,,,,,,,,,,,
,Los Angeles ,LOS,"5,149","2,612",255,"12,899",5,5,1,19,"5,154","2,617",256,"12,918"
,,,,,,,,,,,,,,
,Los Angeles County ,LAC,"6,423","3,062",619,"15,520",9,10,4,17,"6,432","3,072",623,"15,537"
,,,,,,,,,,,,,,
,Sacramento ,SAC,"3,554","1,851",183,"8,904",3, -   , -   ,15,"3,557","1,851",183,"8,919"
,,,,,,,,,,,,,,
,San Bernardino,SBD,"5,145","2,296",451,"12,154",13,23,3,26,"5,158","2,319",454,"12,180"
,,,,,,,,,,,,,,
,San Diego ,SND,"4,772","2,135",348,"11,656",122,102,20,146,"4,894","2,237",368,"11,802"
,,,,,,,,,,,,,,
,San Fernando Valley,SFV,"4,486","1,859",203,"10,777",7,9,1,18,"4,493","1,868",204,"10,795"
,,,,,,,,,,,,,,
,San Francisco,SFR,"8,323","2,705",338,"20,228",9,2,1,21,"8,332","2,707",339,"20,249"
,,,,,,,,,,,,,,
,San Jose ,SNJ,"4,389","1,566",362,"11,757",3,8, -   ,7,"4,392","1,574",362,"11,764"
,,,,,,,,,,,,,,
,Santa Ana,SAA,"4,749","2,002",273,"11,752",7,5, -   ,14,"4,756","2,007",273,"11,766"
,,,,,,,,,,,,,,
Colorado,,,   ,   ,   ,   ,   ,   ,   ,   ,  ,  ,  ,  
,,,,,,,,,,,,,,
