,,, Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 , Applications Received2 , Approved3 , Denied4 , Pending5 
,,,,,,,,,,,,,,
 Total ,,,"218,248","174,984","22,599","747,383",661,420,76,"5,969","218,909","175,404","22,675","753,352"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Field Office by State6 ,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Montgomery , MGA ,983,101,46,"5,364", D , -   , -   ,191,988,101,46,"5,555"
,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Anchorage  , ANC ,288,93,25,936, D , D , -   ,46,290,94,25,982
,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Phoenix  , PHO ,"2,934","1,966",286,"13,091", D ,14, D ,40,"2,943","1,980",287,"13,131"
,,,,,,,,,,,,,,
, Tucson , TUC ,671,833,83,"1,496", D , D , -   ,14,673,834,83,"1,510"
,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Fort Smith  , FSA ,416,512,25,975, D , D , -   , D ,417,515,25,983
,,,,,,,,,,,,,,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
, Fresno  , FRE ,"2,579","3,023",299,"7,047", D , -   , D ,22,"2,584","3,023",301,"7,069"
,,,,,,,,,,,,,,
, Imperial , IMP ,248,233,58,825, -   , -   , -   , D ,248,233,58,827
,,,,,,,,,,,,,,
, Los Angeles  , LOS ,"4,566","4,285",422,"16,553", D ,12, D ,61,"4,575","4,297",424,"16,614"
,,,,,,,,,,,,,,
, Los Angeles County  , LAC ,"4,696","3,982",747,"17,513",11, D , D ,57,"4,707","3,991",748,"17,570"
,,,,,,,,,,,,,,
, Sacramento  , SAC ,"3,698","3,645",345,"10,484",10, D , -   ,77,"3,708","3,650",345,"10,561"
,,,,,,,,,,,,,,
, San Bernardino , SBD ,"4,528","4,293",666,"8,396",11,18, D ,71,"4,539","4,311",668,"8,467"
,,,,,,,,,,,,,,
, San Diego  , SND ,"4,009","3,916",399,"10,575",13,24, D ,213,"4,022","3,940",402,"10,788"
,,,,,,,,,,,,,,
, San Fernando Valley , SFV ,"3,831","3,079",455,"13,391", D , D , -   ,57,"3,835","3,088",455,"13,448"
,,,,,,,,,,,,,,
