,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,
 Grand Total ,,,"196,936","193,454","23,995","710,425",734,959,205,"3,264","197,670","194,413","24,200","713,689"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, Montgomery , MGA ,"1,009","1,675",122,"3,465",40, D , D ,74,"1,049","1,681",123,"3,539"
,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Anchorage  , ANC ,301,162,38,687, D ,10, D ,23,304,172,39,710
,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Phoenix  , PHO ,"2,461","2,188",373,"12,620", D , D , D ,30,"2,464","2,193",375,"12,650"
,,,,,,,,,,,,,,
, Tucson , TUC ,584,756,80,"1,224", -   , D , -   , D ,584,764,80,"1,229"
,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Fort Smith  , FSA ,370,278,14,"1,193", -   , D , D , D ,370,280,15,"1,196"
,,,,,,,,,,,,,,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
, Fresno  , FRE ,"2,404","2,203",310,"5,606", D , D , D ,22,"2,409","2,209",311,"5,628"
,,,,,,,,,,,,,,
, Imperial , IMP ,412,384,194,"1,095", -   , -   , -   , D ,412,384,194,"1,099"
,,,,,,,,,,,,,,
, Los Angeles  , LOS ,"4,002","4,436",485,"12,144",12, D , D ,39,"4,014","4,444",486,"12,183"
,,,,,,,,,,,,,,
, Los Angeles County  , LAC ,"3,727","3,327",604,"14,471",11,19, D ,38,"3,738","3,346",609,"14,509"
,,,,,,,,,,,,,,
, Sacramento  , SAC ,"3,467","2,884",310,"11,026",10, D , D ,33,"3,477","2,888",312,"11,059"
,,,,,,,,,,,,,,
, San Bernardino , SBD ,"3,950","3,826",531,"7,799",15,11, D ,55,"3,965","3,837",534,"7,854"
,,,,,,,,,,,,,,
, San Diego  , SND ,"3,447","3,898",419,"8,809",10,38, D ,112,"3,457","3,936",422,"8,921"
,,,,,,,,,,,,,,
, San Fernando Valley , SFV ,"3,179","3,009",289,"16,614", D ,12, D ,29,"3,186","3,021",292,"16,643"
,,,,,,,,,,,,,,
, San Francisco , SFR ,"6,270","6,257",278,"32,784",12,15, D ,80,"6,282","6,272",279,"32,864"
,,,,,,,,,,,,,,
, San Jose  , SNJ ,"3,654","3,298",182,"13,859", D , D , -   ,51,"3,663","3,300",182,"13,910"
,,,,,,,,,,,,,,
, Santa Ana , SAA ,"3,631","2,022",425,"16,415",13, D , -   ,34,"3,644","2,031",425,"16,449"
,,,,,,,,,,,,,,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Denver  , DEN ,"2,194","2,554",423,"7,675",19,33, D ,68,"2,213","2,587",431,"7,743"
,,,,,,,,,,,,,,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Hartford  , HAR ,"2,333","2,012",215,"7,895", D , -   , D ,21,"2,338","2,012",217,"7,916"
,,,,,,,,,,,,,,
 Delaware ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Dover AFB , DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Washington  , WAS ,"4,471","6,953",399,"15,516", D ,19, D ,47,"4,477","6,972",403,"15,563"
,,,,,,,,,,,,,,
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,,,,,,,,,,,
, Fort Meyers , OFM ,"1,019","1,044",152,"4,992", -   , D , -   , D ,"1,019","1,045",152,"4,996"
,,,,,,,,,,,,,,
, Hialeah , HIA ,"2,939","3,064",424,"7,006", D , D , D , D ,"2,941","3,067",426,"7,009"
,,,,,,,,,,,,,,
, Jacksonville , JAC ,"1,257","1,275",190,"1,950", D , D , D ,29,"1,259","1,283",194,"1,979"
,,,,,,,,,,,,,,
, Kendall , KND ,"3,016","4,448",522,"6,341", D , D , -   , D ,"3,017","4,452",522,"6,348"
,,,,,,,,,,,,,,
