Fiscal Year,code, Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
,,,,,,,,,,,,,
2013,ANC, ANCHORAGE AK , -   ,503,92,"1,326", -   ,20,3,69, -   ,618,"1,395"
,,,,,,,,,,,,,
,ATL, ATLANTA GA , -   ,"15,972","1,392","37,098", -   ,976,83,"4,306", -   ,"18,423","41,404"
,,,,,,,,,,,,,
,BAL, BALTIMORE MD , -   ,"8,823",737,"22,252", -   ,29,10,66, -   ,"9,599","22,318"
,,,,,,,,,,,,,
,BOS, BOSTON MA , -   ,"15,066","2,174","57,517", -   ,36,5,140, -   ,"17,281","57,657"
,,,,,,,,,,,,,
,BUF, BUFFALO NY , -   ,"2,450",280,"8,488", -   ,48, -   ,72, -   ,"2,778","8,560"
,,,,,,,,,,,,,
,CHI, CHICAGO IL , -   ,"13,645",964,"40,914", -   ,476,16,871, -   ,"15,101","41,785"
,,,,,,,,,,,,,
,CLE, CLEVELAND OH , -   ,"5,436",408,"8,173", -   ,13,4,49, -   ,"5,861","8,222"
,,,,,,,,,,,,,
,DAL, DALLAS TX , -   ,"9,722",854,"29,358", -   ,341,9,"1,048", -   ,"10,926","30,406"
,,,,,,,,,,,,,
,DEN, DENVER CO , -   ,"4,417",577,"9,212", -   ,38,2,154, -   ,"5,034","9,366"
,,,,,,,,,,,,,
,DET, DETROIT MI , -   ,"6,383",715,"14,203", -   ,6,2,30, -   ,"7,106","14,233"
,,,,,,,,,,,,,
,ELP, EL PASO TX , -   ,"2,579",253,"7,900", -   ,70,7,94, -   ,"2,909","7,994"
,,,,,,,,,,,,,
,VSC, VERMONT SERVICE CENTER ,333, -   , -   ,729,448, -   ,3,"1,253",781,3,"1,982"
,,,,,,,,,,,,,
,HEL, HELENA MT , -   ,734,85,"1,638", -   ,7,1,8, -   ,827,"1,646"
,,,,,,,,,,,,,
,HHW, HONOLULU HI , -   ,"2,189",150,"5,766", -   ,80,12,235, -   ,"2,431","6,001"
,,,,,,,,,,,,,
,HLG, HARLINGEN TX , -   ,"1,303",250,"5,778", -   ,6, -   ,31, -   ,"1,559","5,809"
,,,,,,,,,,,,,
,HOU, HOUSTON TX , -   ,"12,966",769,"20,305", -   ,27,4,51, -   ,"13,766","20,356"
,,,,,,,,,,,,,
,KAN, KANSAS CITY MO , -   ,"2,993",295,"11,489", -   ,61,9,189, -   ,"3,358","11,678"
,,,,,,,,,,,,,
,LOS, LOS ANGELES CA , -   ,"42,643","4,026","103,462", -   ,121,15,305, -   ,"46,805","103,767"
,,,,,,,,,,,,,
,MIA, MIAMI FL , -   ,"51,575","7,075","132,153", -   ,199,27,359, -   ,"58,876","132,512"
,,,,,,,,,,,,,
,NBC, NATIONAL BENEFITS CENTER ,"371,257", -   ,875,"1,213,322", -   , -   , -   , -   ,"371,257",875,"1,213,322"
,,,,,,,,,,,,,
,NEW, NEWARK NJ ,8,"19,127","1,648","38,916", -   ,33,5,201,8,"20,813","39,117"
,,,,,,,,,,,,,
,NOL, NEW ORLEANS LA , -   ,"6,099",838,"22,228", -   ,74,9,144, -   ,"7,020","22,372"
,,,,,,,,,,,,,
,NSC, NEBRASKA SERVICE CENTER ,147, -   , -   ,319,"1,064", -   ,1,985,"1,211",1,"1,304"
,,,,,,,,,,,,,
,NYC, NEW YORK CITY NY , -   ,"46,685","5,488","138,626", -   ,124,56,331, -   ,"52,353","138,957"
,,,,,,,,,,,,,
,OMA, OMAHA NE , -   ,"2,256",260,"5,539", -   ,1,1,40, -   ,"2,518","5,579"
,,,,,,,,,,,,,
,PHI, PHILADELPHIA PA , -   ,"9,330","1,024","31,584", -   ,22,3,44, -   ,"10,379","31,628"
,,,,,,,,,,,,,
,PHO, PHOENIX AZ , -   ,"12,293","1,540","33,693", -   ,69,9,183, -   ,"13,911","33,876"
,,,,,,,,,,,,,
,POM, PORTLAND ME , -   ,749,22,"1,818", -   ,4, -   ,2, -   ,775,"1,820"
,,,,,,,,,,,,,
,POO, PORTLAND OR , -   ,"3,635",242,"5,573", -   ,6,7,37, -   ,"3,890","5,610"
,,,,,,,,,,,,,
,SAJ, SAN JUAN PR , -   ,"1,489",145,"4,391", -   ,4, -   ,15, -   ,"1,638","4,406"
,,,,,,,,,,,,,
,SEA, SEATTLE WA , -   ,"8,024",765,"13,115", -   ,59,5,140, -   ,"8,853","13,255"
,,,,,,,,,,,,,
,SFR, SAN FRANCISCO CA , -   ,"32,114","2,746","66,806", -   ,80,23,131, -   ,"34,963","66,937"
,,,,,,,,,,,,,
,SNA, SAN ANTONIO TX , -   ,"3,774",328,"10,705", -   ,193,29,456, -   ,"4,324","11,161"
,,,,,,,,,,,,,
,SND, SAN DIEGO CA , -   ,"8,742",679,"19,760", -   ,123,13,455, -   ,"9,557","20,215"
,,,,,,,,,,,,,
,SPM, ST. PAUL MN , -   ,"4,964",655,"15,272", -   ,9,2,166, -   ,"5,630","15,438"
,,,,,,,,,,,,,
,TSC, TEXAS SERVICE CENTER ,378, -   , -   ,702,"2,301", -   ,8,"2,031","2,679",8,"2,733"
,,,,,,,,,,,,,
,WAS, WASHINGTON DC , -   ,"11,122",890,"39,620", -   ,274,24,552, -   ,"12,310","40,172"
,,,,,,,,,,,,,
,CSC, CALIFORNIA SERVICE CENTER ,281, -   ,2,926,501, -   , -   ,"1,335",782,2,"2,261"
,,,,,,,,,,,,,
Grand Total,,,"372,404","369,802","39,243","2,180,676","4,314","3,629",407,"16,578","376,718","413,081","2,197,254"
