,field_office,Applications Received2,Approved3,Denied4,Pending5,quarter,state,code,year,fy
11,Anchorage,257,316,39,365,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Alaska,ANC,2013.0,FY 2013
15,Phoenix,"2,759","2,399",312,"4,700","FY 2013, 4th Q, July 1- Sept. 30, 2013",Arizona,PHO,2013.0,FY 2013
17,Tucson,636,513,80,"1,166","FY 2013, 4th Q, July 1- Sept. 30, 2013",Arizona,TUC,2013.0,FY 2013
21,Fort Smith,232,202,22,411,"FY 2013, 4th Q, July 1- Sept. 30, 2013",Arkansas,FSA,2013.0,FY 2013
25,Chula Vista,"1,582","1,928",121,"2,004","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,CVC,2013.0,FY 2013
27,Fresno,"2,191","2,329",232,"3,061","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,FRE,2013.0,FY 2013
29,Imperial,408,611,121,810,"FY 2013, 4th Q, July 1- Sept. 30, 2013",California,IMP,2013.0,FY 2013
31,Los Angeles,"5,065","6,278",429,"7,876","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,LOS,2013.0,FY 2013
33,Los Angeles County,"4,806","5,502",499,"7,827","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,LAC,2013.0,FY 2013
35,Sacramento,"3,064","3,573",271,"3,898","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,SAC,2013.0,FY 2013
37,San Bernardino,"3,308","3,469",377,"6,482","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,SBD,2013.0,FY 2013
39,San Diego,"2,092","2,029",137,"3,285","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,SND,2013.0,FY 2013
41,San Fernando Valley,"3,275","3,909",267,"6,012","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,SFV,2013.0,FY 2013
43,San Francisco,"5,607","5,936",393,"8,339","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,SFR,2013.0,FY 2013
45,San Jose,"3,837","4,261",317,"4,344","FY 2013, 4th Q, July 1- Sept. 30, 2013",California,SNJ,2013.0,FY 2013
