code,fy,Applications Received2,Approved3,Denied4,Pending5,field_office,state,nationality
MGA,FY 2017,1439.0,299.0,10.0,4669.0,Montgomery,Alabama,US
MGA,FY 2018,3748.0,3292.0,225.0,19759.0,Montgomery,Alabama,US
MGA,FY 2019,4006.0,6167.0,453.0,15110.0,Montgomery,Alabama,US
MGA,FY 2020,1033.0,2363.0,104.0,3950.0,Montgomery,Alabama,US
ANC,FY 2010,956.0,775.0,98.0,385.0,Anchorage,Alaska,US
ANC,FY 2011,1233.0,1043.0,155.0,426.0,Anchorage,Alaska,US
ANC,FY 2012,1322.0,1154.0,147.0,485.0,Anchorage,Alaska,US
ANC,FY 2013,515.0,603.0,91.0,733.0,Anchorage,Alaska,US
ANC,FY 2014,1153.0,1024.0,162.0,1909.0,Anchorage,Alaska,US
ANC,FY 2015,1178.0,941.0,134.0,2187.0,Anchorage,Alaska,US
ANC,FY 2016,1288.0,859.0,170.0,2700.0,Anchorage,Alaska,US
ANC,FY 2017,1338.0,888.0,161.0,3489.0,Anchorage,Alaska,US
ANC,FY 2018,1082.0,1329.0,138.0,2808.0,Anchorage,Alaska,US
ANC,FY 2019,1231.0,1150.0,218.0,2164.0,Anchorage,Alaska,US
ANC,FY 2020,334.0,391.0,101.0,403.0,Anchorage,Alaska,US
PHO,FY 2010,10380.0,8139.0,661.0,4708.0,Phoenix,Arizona,US
PHO,FY 2011,10880.0,10251.0,1110.0,4326.0,Phoenix,Arizona,US
PHO,FY 2012,12596.0,9885.0,1319.0,5439.0,Phoenix,Arizona,US
PHO,FY 2013,5097.0,5094.0,688.0,9817.0,Phoenix,Arizona,US
PHO,FY 2014,11428.0,8608.0,1049.0,21869.0,Phoenix,Arizona,US
PHO,FY 2015,10621.0,11005.0,1615.0,23337.0,Phoenix,Arizona,US
PHO,FY 2016,13059.0,9294.0,1372.0,27013.0,Phoenix,Arizona,US
PHO,FY 2017,14909.0,8922.0,1364.0,45192.0,Phoenix,Arizona,US
PHO,FY 2018,11225.0,9280.0,1287.0,52021.0,Phoenix,Arizona,US
PHO,FY 2019,8070.0,8257.0,913.0,36246.0,Phoenix,Arizona,US
PHO,FY 2020,3263.0,3747.0,263.0,10912.0,Phoenix,Arizona,US
TUC,FY 2010,2228.0,2022.0,182.0,891.0,Tucson,Arizona,US
TUC,FY 2011,2697.0,2365.0,112.0,1135.0,Tucson,Arizona,US
TUC,FY 2012,2822.0,2771.0,338.0,1077.0,Tucson,Arizona,US
TUC,FY 2013,1132.0,1067.0,182.0,2136.0,Tucson,Arizona,US
TUC,FY 2014,2895.0,2574.0,290.0,4775.0,Tucson,Arizona,US
TUC,FY 2015,2519.0,2555.0,406.0,3984.0,Tucson,Arizona,US
TUC,FY 2016,3153.0,2032.0,344.0,5326.0,Tucson,Arizona,US
TUC,FY 2017,3622.0,3319.0,415.0,8743.0,Tucson,Arizona,US
TUC,FY 2018,2763.0,3046.0,339.0,6279.0,Tucson,Arizona,US
TUC,FY 2019,1925.0,2711.0,249.0,4554.0,Tucson,Arizona,US
TUC,FY 2020,756.0,1294.0,103.0,1872.0,Tucson,Arizona,US
FSA,FY 2010,955.0,821.0,94.0,368.0,Fort Smith,Arkansas,US
FSA,FY 2011,1028.0,960.0,111.0,386.0,Fort Smith,Arkansas,US
FSA,FY 2012,1125.0,910.0,73.0,458.0,Fort Smith,Arkansas,US
FSA,FY 2013,443.0,501.0,45.0,821.0,Fort Smith,Arkansas,US
FSA,FY 2014,1091.0,1028.0,74.0,1793.0,Fort Smith,Arkansas,US
FSA,FY 2015,1186.0,1093.0,69.0,2102.0,Fort Smith,Arkansas,US
FSA,FY 2016,1591.0,1315.0,76.0,2792.0,Fort Smith,Arkansas,US
FSA,FY 2017,1530.0,1116.0,67.0,4676.0,Fort Smith,Arkansas,US
FSA,FY 2018,1481.0,1737.0,113.0,3899.0,Fort Smith,Arkansas,US
FSA,FY 2019,1053.0,915.0,81.0,3287.0,Fort Smith,Arkansas,US
FSA,FY 2020,399.0,515.0,46.0,987.0,Fort Smith,Arkansas,US
CVC,FY 2010,5906.0,4777.0,281.0,2399.0,Chula Vista,California,US
CVC,FY 2011,6587.0,5789.0,249.0,2560.0,Chula Vista,California,US
CVC,FY 2012,7577.0,6489.0,366.0,3025.0,Chula Vista,California,US
CVC,FY 2013,3392.0,3912.0,238.0,4513.0,Chula Vista,California,US
CVC,FY 2014,6978.0,5535.0,514.0,10484.0,Chula Vista,California,US
CVC,FY 2015,7472.0,6819.0,708.0,12160.0,Chula Vista,California,US
CVC,FY 2016,3601.0,2607.0,322.0,5324.0,Chula Vista,California,US
CVC,FY 2017,0.0,0.0,0.0,0.0,Chula Vista,California,US
CVC,FY 2018,0.0,0.0,0.0,0.0,Chula Vista,California,US
CVC,FY 2019,0.0,0.0,0.0,0.0,Chula Vista,California,US
CVC,FY 2020,0.0,0.0,0.0,0.0,Chula Vista,California,US
FRE,FY 2010,7613.0,6078.0,776.0,3054.0,Fresno,California,US
FRE,FY 2011,11428.0,9375.0,905.0,4198.0,Fresno,California,US
FRE,FY 2012,11659.0,11043.0,1101.0,4149.0,Fresno,California,US
FRE,FY 2013,4093.0,5012.0,525.0,6027.0,Fresno,California,US
FRE,FY 2014,10014.0,7578.0,785.0,16877.0,Fresno,California,US
FRE,FY 2015,8592.0,8805.0,1267.0,17962.0,Fresno,California,US
FRE,FY 2016,11051.0,7648.0,1341.0,19187.0,Fresno,California,US
FRE,FY 2017,13279.0,9971.0,1109.0,33801.0,Fresno,California,US
FRE,FY 2018,10564.0,12064.0,1219.0,27837.0,Fresno,California,US
FRE,FY 2019,10142.0,10483.0,1444.0,23250.0,Fresno,California,US
FRE,FY 2020,3160.0,2909.0,342.0,5090.0,Fresno,California,US
IMP,FY 2010,762.0,677.0,52.0,297.0,Imperial,California,US
IMP,FY 2011,1174.0,963.0,29.0,391.0,Imperial,California,US
IMP,FY 2012,3232.0,1642.0,86.0,1817.0,Imperial,California,US
IMP,FY 2013,1333.0,1281.0,193.0,2746.0,Imperial,California,US
IMP,FY 2014,1435.0,1582.0,251.0,2139.0,Imperial,California,US
IMP,FY 2015,1221.0,980.0,212.0,1723.0,Imperial,California,US
IMP,FY 2016,1867.0,1214.0,173.0,3021.0,Imperial,California,US
IMP,FY 2017,1930.0,1546.0,350.0,4739.0,Imperial,California,US
IMP,FY 2018,1504.0,1279.0,376.0,3485.0,Imperial,California,US
IMP,FY 2019,1340.0,1013.0,407.0,3280.0,Imperial,California,US
IMP,FY 2020,561.0,390.0,91.0,935.0,Imperial,California,US
LOS,FY 2010,40024.0,33309.0,2610.0,19724.0,Los Angeles,California,US
LOS,FY 2011,40143.0,37779.0,2682.0,23225.0,Los Angeles,California,US
LOS,FY 2012,34788.0,33049.0,1941.0,11782.0,Los Angeles,California,US
LOS,FY 2013,9696.0,11487.0,797.0,18980.0,Los Angeles,California,US
LOS,FY 2014,21763.0,18927.0,1351.0,37761.0,Los Angeles,California,US
LOS,FY 2015,17546.0,18245.0,1645.0,31571.0,Los Angeles,California,US
LOS,FY 2016,20913.0,17276.0,1546.0,34944.0,Los Angeles,California,US
LOS,FY 2017,22672.0,17615.0,1164.0,60279.0,Los Angeles,California,US
LOS,FY 2018,18635.0,17570.0,1637.0,62556.0,Los Angeles,California,US
LOS,FY 2019,15307.0,15978.0,1372.0,51369.0,Los Angeles,California,US
LOS,FY 2020,5000.0,4763.0,329.0,16722.0,Los Angeles,California,US
LAC,FY 2012,9674.0,11681.0,1099.0,9314.0,Los Angeles County,California,US
LAC,FY 2013,9157.0,10924.0,872.0,16783.0,Los Angeles County,California,US
LAC,FY 2014,23638.0,16861.0,2196.0,43907.0,Los Angeles County,California,US
LAC,FY 2015,18149.0,20454.0,2778.0,36824.0,Los Angeles County,California,US
LAC,FY 2016,23971.0,18141.0,2423.0,43896.0,Los Angeles County,California,US
LAC,FY 2017,26696.0,16235.0,2614.0,74593.0,Los Angeles County,California,US
LAC,FY 2018,18558.0,19437.0,3159.0,66401.0,Los Angeles County,California,US
LAC,FY 2019,12196.0,10932.0,1872.0,44337.0,Los Angeles County,California,US
LAC,FY 2020,4703.0,4319.0,596.0,15324.0,Los Angeles County,California,US
SAC,FY 2010,11441.0,9873.0,623.0,4643.0,Sacramento,California,US
SAC,FY 2011,16481.0,13381.0,950.0,6957.0,Sacramento,California,US
SAC,FY 2012,16576.0,17399.0,1393.0,4390.0,Sacramento,California,US
SAC,FY 2013,5846.0,6821.0,523.0,7928.0,Sacramento,California,US
SAC,FY 2014,12783.0,12054.0,928.0,16272.0,Sacramento,California,US
SAC,FY 2015,12896.0,10752.0,964.0,18489.0,Sacramento,California,US
SAC,FY 2016,14616.0,12412.0,1029.0,25184.0,Sacramento,California,US
SAC,FY 2017,16130.0,10611.0,922.0,44550.0,Sacramento,California,US
SAC,FY 2018,13789.0,14300.0,1284.0,42086.0,Sacramento,California,US
SAC,FY 2019,10639.0,9537.0,908.0,33146.0,Sacramento,California,US
