code,fy,year,field_office,state,nationality
1,FY 2016,2016.0,London,United Kingdom,international
1,FY 2017,8067.0,London,United Kingdom,international
1,FY 2018,8071.0,London,United Kingdom,international
1,FY 2019,4037.0,London,United Kingdom,international
14,FY 2016,2016.0,Rome,Italy,international
14,FY 2017,8067.0,Rome,Italy,international
14,FY 2018,8071.0,Rome,Italy,international
14,FY 2019,4037.0,Rome,Italy,international
23,FY 2016,2016.0,Frankfurt,Germany,international
23,FY 2017,8067.0,Frankfurt,Germany,international
23,FY 2018,8071.0,Frankfurt,Germany,international
23,FY 2019,4037.0,Frankfurt,Germany,international
54,FY 2016,2016.0,Seoul,South Korea,international
54,FY 2017,8067.0,Seoul,South Korea,international
54,FY 2018,8071.0,Seoul,South Korea,international
54,FY 2019,4037.0,Seoul,South Korea,international
